Year,NOC,Total Athletes,Medal Count,Average Age (M),Average Height (M),Average Weight (M),Average Age (F),Average Height (F),Average Weight (F),Country Name,Armed forces personnel (% of total labor force),"Compulsory education, duration (years)",Control of Corruption: Percentile Rank,Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),Government Effectiveness: Percentile Rank,"Government expenditure on education, total (% of GDP)","International tourism, expenditures (current US$)",Military expenditure (% of GDP),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Political Stability and Absence of Violence/Terrorism: Percentile Rank,Population growth (annual %),"Population, total",Rule of Law: Percentile Rank,Strength of legal rights index (0=weak to 12=strong),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
1896,AUS,3,4.0,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,AUT,3,5.0,21.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,DEN,3,6.0,25.933333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,FRA,12,11.0,19.789473684210527,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,GBR,14,11.0,23.94117647058824,188.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,
1896,GER,21,33.0,23.406626506024097,163.6818181818182,64.71428571428571,,,,,,,,,,,,,,,,,,,,,,,,,
1896,GRE,109,48.0,17.403846153846153,175.66666666666666,78.0,,,,,,,,,,,,,,,,,,,,,,,,,
1896,HUN,7,6.0,22.642857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,ITA,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,SUI,3,3.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,SWE,1,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,USA,14,20.0,23.07407407407408,179.875,72.46153846153847,,,,,,,,,,,,,,,,,,,,,,,,,
1900,ARG,1,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,AUS,7,10.0,23.200000000000003,177.25,70.75,,,,,,,,,,,,,,,,,,,,,,,,,
1900,AUT,17,6.0,24.5,176.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,BEL,74,45.0,29.222539682539683,,64.5,,,,,,,,,,,,,,,,,,,,,,,,,
1900,BOH,9,4.0,27.125,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,
1900,BRA,1,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,CAN,4,2.0,25.571428571428573,169.25,64.75,,,,,,,,,,,,,,,,,,,,,,,,,
1900,COL,11,11.0,23.33333333333333,166.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,
1900,CUB,1,2.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,DEN,17,12.0,30.87121212121212,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,ESP,10,2.0,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,FRA,878,256.0,33.27944014146705,176.7111111111111,74.75,31.875,,,,,,,,,,,,,,,,,,,,,,,,
1900,GBR,174,160.0,30.915771349862258,181.3125,79.16666666666666,28.0,,,,,,,,,,,,,,,,,,,,,,,,
