Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,180.188369406647,142.903364432457,182.174038211707,199.643226536823,221.830530720307,254.115276010485,274.01539233406,376.318299640418,382.533807216693,453.387385142577,562.499221552971,608.738850364613,653.417474910283,638.73318101404,626.512929086139,566.881129708434,523.053011984748,526.140801025756,492.090630986151,497.741431256813,512.055098005672,355.777826392648,352.603733092107,..
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,162.342517470388,166.263682006911,171.961915641688,182.018479493271,192.639989341492,202.847823990074,214.666913743432,226.978858727529,237.91143081607,256.356381322654,253.382369534368,268.350078588673,282.736957731091,354.498831649227,421.977184738244,435.977901648087,430.261243729322,468.301006855768,509.479881706338,578.563220048066,728.089032364032,747.045457327748,689.942670834929,711.678240716245,638.748097266477,534.63657158749,560.769811627585,653.141414479377,690.218354018774,712.241039213014,810.646700079806,858.727618633322,732.360417834814,715.892117172597,707.177201584469,773.575368635221,750.771355723696,774.549634806529,704.277315719787,678.004155967361,715.142507332877,633.473381647953,633.520200697013,819.986705041887,994.193854428418,1130.16893800135,1235.84712467542,1379.74675649107,1439.24092429085,1404.53594803156,1622.68409299336,1757.99840406352,1724.20405261091,1696.35603961321,1678.55360976878,1498.80508358802,1346.30128120779,1485.7535786147,1558.61207925907,1508.48688648948,1356.08887141531,1545.95669660381,1642.43203899493,1672.5059574692
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,122.193931234231,127.732834021678,134.130070528771,139.291221895117,148.821354708312,156.314136371155,162.890667132088,145.568084643886,146.846475418815,162.721305485771,219.865368418697,197.103880274326,231.571756173955,282.642421243035,370.935049119746,416.440747632831,484.122147845679,494.6891205982,527.986474272969,630.017269641722,763.507777729294,1336.29003223031,1172.99704518665,881.422884675276,745.326947463229,762.111294770313,588.180368781536,588.670593297145,567.573162576345,516.079428421792,598.393654721298,612.434518557781,571.64571752553,579.709832591796,586.813720557829,878.384133199292,1084.23049382323,1108.67598376033,1159.18683744267,531.516489087778,527.202561683489,539.225748784857,627.095915323968,706.476561309633,850.083582158985,1008.34176572599,1246.34945356314,1421.44464408425,1685.80693558685,1467.78917417001,1680.141063273,1861.53730345913,1958.07740299649,2154.31508352123,2248.51842565537,1882.51880807768,1648.92026894717,1590.5557849502,1735.44583276662,1813.60914568405,1688.47087082362,1769.17185266776,1788.8753472127,1584.33328485465
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,639.484730161417,639.865903755552,693.873474633887,674.793383069492,652.774321396566,697.995596576519,617.230435515505,336.586994504629,200.852219772323,367.279225077581,586.416135130865,750.604449178826,1009.97711053398,717.380047745673,813.789396580449,1033.24253162418,1126.68334010717,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78781583529,2972.74362094736,3595.03829536404,4370.53971639449,4114.13403283023,4094.34968570481,4437.14116097061,4247.63134315945,4413.06338346821,4578.63320812155,3952.80357364813,4124.05538986272,4531.03220675893,5287.66080067575,5396.2142432843,5343.0377039956,6377.20309553753,6810.11404104233,8367.77573143421
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,239.033005807284,209.917177642367,169.927013321055,225.823391368412,238.877804941679,253.309059020723,241.002571747501,261.366233944322,292.02898396616,315.562094366232,352.533840384931,359.821798878964,468.619255466846,588.907257853434,871.73146199197,989.393162933367,1074.40524480058,1223.991985438,1495.20910297049,1829.89715570571,2259.7243664761,2291.75610066667,2260.34752384937,2359.59326397424,2510.03683324232,2617.72544861118,2783.4310226391,2829.87927404758,2437.37792301413,2235.26812213413,2431.55135968865,1749.28608748967,1794.62350740515,1825.87509656701,1522.82520284828,1466.54468037742,1619.53241242785,1634.46740988129,1610.30297761325,1602.8649145582,1780.37606280604,1904.21555356782,1945.19192868032,2292.31758148495,2827.22716459299,3248.09981432319,3681.29098817798,4192.66316915541,5217.99182157355,4270.85845146029,4958.2593791361,5974.57008682611,6096.09001549263,6044.67490330703,6164.64469897525,4741.49977033558,4481.08196153066,4615.86874364885,4640.31414537956,4530.10174483631,3794.40952448639,4216.2512851303,5023.25293164928,5260.20624980797
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8800.72881035461,9043.68236654528,8832.81851941832,8733.01428721137,8673.92719531291,9187.16634446553,10019.502245442,12191.5977314597,10446.8632062572,10495.3047320935,11920.0610903131,12038.8715916596,12313.9973571825,13101.5418159165,13300.8246114811,12372.8847825647,13195.9358995539,13672.576657298,15609.7772196843,16653.7137781725,19673.3901023197,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,3958.59572490093,4193.16237434646,4967.34396310593,6183.80844084139,7174.4445640171,7963.55181640127,7758.71683045235,8206.98236540657,9456.01587659326,12054.0316429831,12534.8284742917,10516.7563251923,9739.22855021001,8108.67734754334,7825.16015829635,7914.87399107836,10568.9291277069,12832.9993605648,14529.0598773825,15404.8215892041,19208.6783786868,19967.7339095047,21123.0560601824,17024.313169747,16670.9384281796,18731.6501854151,19081.5492417877,18253.0777011271,18592.2436421492,18891.0989731077,21674.299721519,22829.0446484521,24901.9721421265,32025.9489485981,37698.3261343274,39599.6804439248,43122.5986518428,50629.7380925646,53938.8521336326,49950.9334988206,48237.8911738235,51428.1969515188,44902.3807663645,44747.7538641695,45680.5349920165,38885.5303222983,39931.2169800216,40632.2315521995,42904.8284559223,41328.6004978373,37207.2219994994,42066.4905178822,42350.6970690874,46544.7207199483
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,450.980076344484,329.224181981965,398.113614094094,454.376649770871,516.128602285455,423.40371118599,387.689437952028,556.884252978488,527.46411051877,872.657631363509,982.805587449171,1254.696118613,1900.72380923794,2597.9635866386,3121.34872503374,4081.71750626182,3123.69888517374,3586.66369358621,4608.15516572683,5083.82687346735,5061.34925297484,5011.9844274536,3217.33924005417,1809.70937719455,2439.37443934002,2540.50887884546,2191.34776433537,1450.90511139418,1927.47407827687,2933.48464381415,2309.52162029791
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1208.67002973153,1368.48596019421,1696.12879297289,2041.0353178619,2295.4357639956,2551.3318196245,2826.07858592448,3246.42135480237,3787.11788901187,4597.86495606745,5389.65923485682,6429.52821221709,7152.36891300754,7558.94063593659,7925.12504961824,8121.12318012502,8591.81172848882,9319.11754311563,9006.32788699691,9729.66433294809,10311.8957650115,10882.474824491,11318.1183513474,11998.559081365,11513.6759799884,11632.7338414261,12141.6017362223,12999.347379454,14319.8839952274,16114.075630733,18134.2664845884,18708.9733545632,16401.0273315405,15149.7235026029,14774.0321811278,15136.8411091932,14977.0718321065,15451.4952444039,15985.5411386971,16449.0591470407,16803.8702340001,18133.8226008953,18730.0047966374,15224.8585890561,17178.5437160522,19919.7266867883,21560.2153299665
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,251.51311775438,259.172549287362,272.018062908891,302.206205552779,323.906341029754,351.870854014358,396.347307240549,462.730684487798,593.267074488912,1107.95277635743,1186.35700881274,1430.44868992926,1594.44345822746,1693.40731916862,2210.54742095628,2900.53707895701,2859.01641983212,2593.21440106024,2373.31395600824,2314.94061092195,2209.15688370961,2008.2680830667,2074.55996035888,2011.72938142465,2088.39028002035,2833.22189337545,2020.36158664875,1969.84761104858,1963.78968068776,1995.55833298332,2058.45956141821,2171.31984204035,2283.70037598542,2174.90400851706,2362.99620692573,2649.77245147363,2527.91694092746,2478.93415179419,2697.48562999278,3140.30963599122,3760.92011203427,4362.93231007856,4943.51055312193,6084.78537345253,5123.70680136245,5911.3303946217,6874.84318714055,7344.63076389533,7344.23105138547,7300.59977114317,6258.60722652973,6022.88281755523,6068.60300810316,6624.83465856668,6565.98083975861,5735.50986687093,6503.79337634305,7776.62937958481,7377.39893629449
