Country,ISO,Start Year,AID Contribution ('000 US$),Total Deaths,No. Injured,"Total Damage, Adjusted ('000 US$)"
Canada,CAN,1912,0,28,200,157862
Japan,JPN,1923,0,143000,103733,10692938
Japan,JPN,1927,0,3022,3295,700572
Dominican Republic,DOM,1930,0,2000,6000,729937
Chile,CHL,1939,0,30000,58500,20170419
Chile,CHL,1943,0,12,35,1761553
Türkiye,TUR,1943,0,4020,5000,704621
Argentina,ARG,1944,0,10000,35000,1731527
Japan,JPN,1948,0,5131,11000,12697863
Cuba,CUB,1948,0,11,300,76187
Chile,CHL,1949,0,35,155,499378
Chile,CHL,1949,0,6,18,66584
Jamaica,JAM,1951,0,154,200,656382
Fiji,FJI,1952,0,23,800,22913
United States of America,USA,1952,0,12,200,687403
Philippines,PHL,1952,0,995,349,572836
Greece,GRC,1953,0,476,2412,1137122
Chile,CHL,1953,0,12,40,5685610
Chile,CHL,1953,0,3,15,83124
Algeria,DZA,1954,0,1250,5000,67974
Greece,GRC,1954,0,31,200,35686
Philippines,PHL,1955,0,400,2000,56900
Afghanistan,AFG,1956,0,100,2000,280228
Mexico,MEX,1957,0,160,100,271167
Iran (Islamic Republic of),IRN,1957,0,3000,5000,54233
Chile,CHL,1960,0,6000,3000,5666472
Anguilla,AIA,1960,0,5,250,360594
Iran (Islamic Republic of),IRN,1962,0,12000,3000,302183
Libya,LBY,1963,0,300,375,49747
Yugoslavia,YUG,1963,0,1070,3300,9949447
Japan,JPN,1964,0,25,376,7859046
Philippines,PHL,1964,0,56,163,78590
Panama,PAN,1964,0,1,18,2947
Republic of Korea,KOR,1964,0,210,300,9824
Türkiye,TUR,1964,0,23,100,49119
Philippines,PHL,1964,0,580,1258,343833
Algeria,DZA,1965,0,2,350,19341
Greece,GRC,1965,0,38,253,77364
Chile,CHL,1965,0,400,350,1208814
United States of America,USA,1965,0,271,1000,1837397
El Salvador,SLV,1965,0,125,1138,338468
Yugoslavia,YUG,1965,0,3,15000,3355668
Bangladesh,BGD,1965,0,36000,600000,557989
Republic of Korea,KOR,1965,0,323,245,352974
Philippines,PHL,1965,0,355,785,96705
Brazil,BRA,1966,0,373,1700,478761
Republic of Korea,KOR,1966,0,22,52,723
Greece,GRC,1966,0,1,50,37550
Peru,PER,1966,0,8,100,46937
Jordan,JOR,1966,0,259,92,13142
Indonesia,IDN,1966,0,176,100,309787
Uganda,UGA,1966,0,104,510,14081
Democratic Republic of the Congo,COD,1966,0,24,600,1877
Brazil,BRA,1966,0,147,57,93067
Taiwan (Province of China),TWN,1966,0,36,21,162610
"China, Hong Kong Special Administrative Region",HKG,1966,0,65,68,75100
Nepal,NPL,1966,0,80,100,9387
Republic of Korea,KOR,1966,0,95,85,17836
Türkiye,TUR,1966,0,2394,1500,187749
Japan,JPN,1966,0,314,41,74161
Thailand,THA,1966,0,6,200,9387
Greece,GRC,1966,0,1,123,131425
Dominican Republic,DOM,1966,0,74,442,46937
Haiti,HTI,1966,0,480,881,187749
Cuba,CUB,1966,0,5,30,168974
Bahamas,BHS,1966,0,5,3,145506
Algeria,DZA,1966,0,57,12,93875
Mexico,MEX,1966,0,14,69,225299
Peru,PER,1966,0,120,1500,140812
Colombia,COL,1966,0,1,11,75100
Chile,CHL,1966,0,4,6,3755
Peru,PER,1967,0,25,300,137013
Brazil,BRA,1967,0,785,1257,71247
Australia,AUS,1967,0,62,100,625693
Colombia,COL,1967,0,61,200,5481
Viet Nam,VNM,1967,0,3,11,4567
Greece,GRC,1967,0,9,56,45671
Myanmar,MMR,1967,0,100,200,45671
Belgium,BEL,1967,0,323,150,182684
Türkiye,TUR,1967,0,183,360,27403
Venezuela (Bolivarian Republic of),VEN,1967,0,240,1536,1278788
Portugal,PRT,1967,0,462,100,27403
Yugoslavia,YUG,1967,0,7,70,182684
Albania,ALB,1967,0,11,134,182684
India,IND,1967,0,177,2272,3654
Brazil,BRA,1967,0,35,50,13701
Italy,ITA,1968,0,224,563,2189998
Guatemala,GTM,1968,0,2,10,175
Bolivia (Plurinational State of),BOL,1968,0,24,200,26280
Greece,GRC,1968,0,19,18,5256
Bangladesh,BGD,1968,0,118,1045,13140
Iran (Islamic Republic of),IRN,1968,0,38,100,8760
Japan,JPN,1968,0,47,281,1147559
Peru,PER,1968,0,11,120,876
