Reference area,REF_AREA,TIME_PERIOD,total emissions by tonnes
Netherlands,NLD,1990,346.5895
Netherlands,NLD,1991,360.3044
Netherlands,NLD,1992,296.9344
Netherlands,NLD,1993,296.017
Netherlands,NLD,1994,256.0165
Netherlands,NLD,1995,219.8267
Netherlands,NLD,1996,223.6145
Netherlands,NLD,1997,213.9657
Netherlands,NLD,1998,198.5027
Netherlands,NLD,1999,196.8578
Netherlands,NLD,2000,174.8599
Netherlands,NLD,2001,168.6571
Netherlands,NLD,2002,161.329
Netherlands,NLD,2003,158.1437
Netherlands,NLD,2004,157.7423
Netherlands,NLD,2005,154.9639
Netherlands,NLD,2006,157.8495
Netherlands,NLD,2007,154.0529
Netherlands,NLD,2008,141.5867
Netherlands,NLD,2009,137.4148
Netherlands,NLD,2010,135.1118
Netherlands,NLD,2011,133.3366
Netherlands,NLD,2012,127.7504
Netherlands,NLD,2013,125.1775
Netherlands,NLD,2014,128.8555
Netherlands,NLD,2015,130.2558
Netherlands,NLD,2016,131.5864
Netherlands,NLD,2017,133.4064
Netherlands,NLD,2018,132.5354
Netherlands,NLD,2019,126.4102
Netherlands,NLD,2020,124.9836
Netherlands,NLD,2021,123.4826
Netherlands,NLD,2022,121.1514
Bulgaria,BGR,1990,148.2411
Bulgaria,BGR,1991,137.4867
Bulgaria,BGR,1992,116.4508
Bulgaria,BGR,1993,96.33022
Bulgaria,BGR,1994,82.22983
Bulgaria,BGR,1995,72.00757
Bulgaria,BGR,1996,66.843
Bulgaria,BGR,1997,66.56215
Bulgaria,BGR,1998,58.95339
Bulgaria,BGR,1999,61.21369
Bulgaria,BGR,2000,56.67294
Bulgaria,BGR,2001,54.26701
Bulgaria,BGR,2002,57.52096
Bulgaria,BGR,2003,56.56044
Bulgaria,BGR,2004,62.52982
Bulgaria,BGR,2005,57.85207
Bulgaria,BGR,2006,57.54844
Bulgaria,BGR,2007,53.48043
Bulgaria,BGR,2008,56.99531
Bulgaria,BGR,2009,53.70446
Bulgaria,BGR,2010,55.72458
Bulgaria,BGR,2011,54.91449
Bulgaria,BGR,2012,55.02655
Bulgaria,BGR,2013,58.65299
Bulgaria,BGR,2014,62.74001
Bulgaria,BGR,2015,62.39882
Bulgaria,BGR,2016,63.57658
Bulgaria,BGR,2017,62.62841
Bulgaria,BGR,2018,62.35734
