REF_AREA,Reference area,Age,TIME_PERIOD,Long-term_unemployment_%_of_labor
GRC,Greece,Middle-aged,2004,5.202932435
GRC,Greece,Middle-aged,2005,4.958358218
GRC,Greece,Middle-aged,2006,4.578013424
GRC,Greece,Middle-aged,2007,4.029568629
GRC,Greece,Middle-aged,2008,3.577062550
GRC,Greece,Middle-aged,2009,3.797458214
GRC,Greece,Middle-aged,2010,5.601375429
GRC,Greece,Middle-aged,2011,8.700100155
GRC,Greece,Middle-aged,2012,14.322297073
GRC,Greece,Middle-aged,2013,18.557383170
GRC,Greece,Middle-aged,2014,19.467292906
GRC,Greece,Middle-aged,2015,18.160088883
GRC,Greece,Middle-aged,2016,16.672583494
GRC,Greece,Middle-aged,2017,15.273751694
GRC,Greece,Middle-aged,2018,13.377818174
GRC,Greece,Middle-aged,2019,12.038426683
GRC,Greece,Middle-aged,2020,10.776046609
GRC,Greece,Middle-aged,2021,9.184138930
GRC,Greece,Middle-aged,2022,7.769552411
NOR,Norway,Middle-aged,2004,0.893652970
NOR,Norway,Middle-aged,2005,0.907685089
NOR,Norway,Middle-aged,2006,0.805691416
NOR,Norway,Middle-aged,2007,0.451080015
NOR,Norway,Middle-aged,2008,0.330940799
NOR,Norway,Middle-aged,2009,0.534673150
NOR,Norway,Middle-aged,2010,0.724570473
NOR,Norway,Middle-aged,2011,0.796210289
NOR,Norway,Middle-aged,2012,0.645471077
NOR,Norway,Middle-aged,2013,0.733624405
NOR,Norway,Middle-aged,2014,0.871314730
NOR,Norway,Middle-aged,2015,1.131201177
NOR,Norway,Middle-aged,2016,1.298972142
NOR,Norway,Middle-aged,2017,1.230905162
NOR,Norway,Middle-aged,2018,1.103569611
NOR,Norway,Middle-aged,2019,0.916257109
NOR,Norway,Middle-aged,2020,0.952597792
NOR,Norway,Middle-aged,2021,1.164369863
NOR,Norway,Middle-aged,2022,0.664944425
CAN,Canada,Middle-aged,2004,0.699709022
CAN,Canada,Middle-aged,2005,0.651655131
CAN,Canada,Middle-aged,2006,0.556225097
CAN,Canada,Middle-aged,2007,0.459917604
CAN,Canada,Middle-aged,2008,0.450246138
CAN,Canada,Middle-aged,2009,0.617945011
CAN,Canada,Middle-aged,2010,0.954794294
CAN,Canada,Middle-aged,2011,0.934379457
CAN,Canada,Middle-aged,2012,0.848676956
CAN,Canada,Middle-aged,2013,0.869066115
CAN,Canada,Middle-aged,2014,0.805204574
CAN,Canada,Middle-aged,2015,0.718892567
CAN,Canada,Middle-aged,2016,0.737759945
CAN,Canada,Middle-aged,2017,0.645913801
CAN,Canada,Middle-aged,2018,0.500628495
CAN,Canada,Middle-aged,2019,0.431643646
CAN,Canada,Middle-aged,2020,0.428562647
CAN,Canada,Middle-aged,2021,1.072966500
CAN,Canada,Middle-aged,2022,0.513870620
AUT,Austria,Young,2004,1.814353712
AUT,Austria,Young,2005,1.461086384
AUT,Austria,Young,2006,1.532546947
AUT,Austria,Young,2007,1.264224723
AUT,Austria,Young,2008,1.166079677
AUT,Austria,Young,2009,1.353034410
AUT,Austria,Young,2010,1.612958836
AUT,Austria,Young,2011,1.278995468
AUT,Austria,Young,2012,1.370640937
AUT,Austria,Young,2013,1.435733566
AUT,Austria,Young,2014,1.391843620
AUT,Austria,Young,2015,1.675264633
AUT,Austria,Young,2016,2.035785822
AUT,Austria,Young,2017,1.486393608
AUT,Austria,Young,2018,1.301161522
AUT,Austria,Young,2019,1.526230339
AUT,Austria,Young,2020,1.230272896
AUT,Austria,Young,2021,1.706219130
AUT,Austria,Young,2022,1.074993809
SWE,Sweden,Middle-aged,2004,1.084496738
SWE,Sweden,Middle-aged,2007,0.723756258
SWE,Sweden,Middle-aged,2008,0.673362939
SWE,Sweden,Middle-aged,2009,0.968200740
SWE,Sweden,Middle-aged,2010,1.404424880
SWE,Sweden,Middle-aged,2011,1.319481216
SWE,Sweden,Middle-aged,2012,1.3068
SWE,Sweden,Middle-aged,2013,1.335110728
SWE,Sweden,Middle-aged,2014,1.325896334
SWE,Sweden,Middle-aged,2015,1.259724036
SWE,Sweden,Middle-aged,2016,1.120060564
SWE,Sweden,Middle-aged,2017,1.050436452
SWE,Sweden,Middle-aged,2018,0.918429847
SWE,Sweden,Middle-aged,2019,0.774917034
SWE,Sweden,Middle-aged,2020,0.983625755
SWE,Sweden,Middle-aged,2021,1.600968998
SWE,Sweden,Middle-aged,2022,1.527297464
IRL,Ireland,Middle-aged,2004,1.440281358
IRL,Ireland,Middle-aged,2005,1.326048311
IRL,Ireland,Middle-aged,2006,1.326154510
IRL,Ireland,Middle-aged,2007,1.428637893
IRL,Ireland,Middle-aged,2008,1.656408765
IRL,Ireland,Middle-aged,2009,3.276477604
IRL,Ireland,Middle-aged,2010,6.638820525
IRL,Ireland,Middle-aged,2011,8.773869989
IRL,Ireland,Middle-aged,2012,8.978819536
IRL,Ireland,Middle-aged,2013,7.924439608
IRL,Ireland,Middle-aged,2014,6.638474489
IRL,Ireland,Middle-aged,2015,5.328823087
COL,Colombia,Young,2004,7.005116727
COL,Colombia,Young,2005,5.663268964
COL,Colombia,Young,2007,1.920067277
COL,Colombia,Young,2008,1.826998916
COL,Colombia,Young,2009,2.041218308
COL,Colombia,Young,2010,2.074090557
COL,Colombia,Young,2011,1.539182095
COL,Colombia,Young,2012,1.311935177
COL,Colombia,Young,2013,1.084029958
COL,Colombia,Young,2014,1.151123881
COL,Colombia,Young,2015,0.893616338
COL,Colombia,Young,2016,0.804964320
COL,Colombia,Young,2017,0.980349143
COL,Colombia,Young,2018,1.300695541
COL,Colombia,Young,2019,1.743174935
COL,Colombia,Young,2020,1.687286910
COL,Colombia,Young,2021,3.022759132
COL,Colombia,Young,2022,1.877118589
SVK,Slovak Republic,Young,2004,15.956046938
SVK,Slovak Republic,Young,2005,16.913488613
SVK,Slovak Republic,Young,2006,15.311151214
SVK,Slovak Republic,Young,2007,10.837858478
SVK,Slovak Republic,Young,2008,9.213680327
SVK,Slovak Republic,Young,2009,10.389740928
SVK,Slovak Republic,Young,2010,16.901027015
SVK,Slovak Republic,Young,2011,16.755875263
SVK,Slovak Republic,Young,2012,17.821150020
SVK,Slovak Republic,Young,2013,19.392592248
SVK,Slovak Republic,Young,2014,16.010116483
SVK,Slovak Republic,Young,2015,13.538884904
SVK,Slovak Republic,Young,2016,9.936115986
SVK,Slovak Republic,Young,2017,7.913231101
SVK,Slovak Republic,Young,2018,6.458891428
SVK,Slovak Republic,Young,2019,6.041405617
SVK,Slovak Republic,Young,2020,7.123082174
SVK,Slovak Republic,Young,2021,9.018051063
SVK,Slovak Republic,Young,2022,9.497375908
FRA,France,Middle-aged,2004,3.424315896
FRA,France,Middle-aged,2005,3.521290673
FRA,France,Middle-aged,2006,3.483069023
FRA,France,Middle-aged,2007,3.004282252
FRA,France,Middle-aged,2008,2.564070277
FRA,France,Middle-aged,2009,2.832445075
FRA,France,Middle-aged,2010,3.339411134
FRA,France,Middle-aged,2011,3.512591279
FRA,France,Middle-aged,2012,3.589984460
FRA,France,Middle-aged,2013,3.858499898
FRA,France,Middle-aged,2014,4.039168587
FRA,France,Middle-aged,2015,4.132710149
FRA,France,Middle-aged,2016,4.128763018
FRA,France,Middle-aged,2017,3.894314604
FRA,France,Middle-aged,2018,3.439624664
FRA,France,Middle-aged,2019,2.887640519
FRA,France,Middle-aged,2020,2.663089695
FRA,France,Middle-aged,2021,2.138492708
FRA,France,Middle-aged,2022,1.820999200
USA,United States,Young,2004,0.937187108
USA,United States,Young,2005,0.811986901
USA,United States,Young,2006,0.665356792
USA,United States,Young,2007,0.688661836
USA,United States,Young,2008,0.907449862
USA,United States,Young,2009,2.139474860
USA,United States,Young,2010,3.363170124
USA,United States,Young,2011,3.374964796
USA,United States,Young,2012,2.952091621
USA,United States,Young,2013,2.479659946
USA,United States,Young,2014,1.859007708
USA,United States,Young,2015,1.325088844
USA,United States,Young,2016,1.079985533
USA,United States,Young,2017,0.751023006
USA,United States,Young,2018,0.629392363
USA,United States,Young,2019,0.663774011
USA,United States,Young,2020,0.703449054
USA,United States,Young,2021,1.270731380
USA,United States,Young,2022,0.726213785
BEL,Belgium,Middle-aged,2004,4.094664212
BEL,Belgium,Middle-aged,2005,4.332838179
BEL,Belgium,Middle-aged,2006,4.095844417
BEL,Belgium,Middle-aged,2007,3.613338919
BEL,Belgium,Middle-aged,2008,3.135907686
BEL,Belgium,Middle-aged,2009,3.253992146
BEL,Belgium,Middle-aged,2010,3.828300133
BEL,Belgium,Middle-aged,2011,3.260122272
BEL,Belgium,Middle-aged,2012,3.151547866
BEL,Belgium,Middle-aged,2013,3.571033449
BEL,Belgium,Middle-aged,2014,3.984838142
BEL,Belgium,Middle-aged,2015,4.099435348
BEL,Belgium,Middle-aged,2016,3.797632899
BEL,Belgium,Middle-aged,2017,3.219680183
BEL,Belgium,Middle-aged,2018,2.776989440
BEL,Belgium,Middle-aged,2019,2.201563300
BEL,Belgium,Middle-aged,2020,2.141800622
BEL,Belgium,Middle-aged,2021,2.522253977
BEL,Belgium,Middle-aged,2022,2.271023445
MEX,Mexico,Middle-aged,2004,0.047148073
MEX,Mexico,Middle-aged,2005,0.073222178
MEX,Mexico,Middle-aged,2006,0.053192280
MEX,Mexico,Middle-aged,2007,0.060055005
MEX,Mexico,Middle-aged,2008,0.060656503
MEX,Mexico,Middle-aged,2009,0.079521790
MEX,Mexico,Middle-aged,2010,0.109211940
MEX,Mexico,Middle-aged,2011,0.112685800
MEX,Mexico,Middle-aged,2012,0.090472219
MEX,Mexico,Middle-aged,2013,0.071164947
MEX,Mexico,Middle-aged,2014,0.084719327
MEX,Mexico,Middle-aged,2015,0.070514228
MEX,Mexico,Middle-aged,2016,0.069403793
MEX,Mexico,Middle-aged,2017,0.068010899
MEX,Mexico,Middle-aged,2018,0.047469896
MEX,Mexico,Middle-aged,2019,0.061831840
MEX,Mexico,Middle-aged,2020,0.062904702
MEX,Mexico,Middle-aged,2021,0.198576054
MEX,Mexico,Middle-aged,2022,0.100989323
PRT,Portugal,Middle-aged,2004,2.856250848
PRT,Portugal,Middle-aged,2005,3.678502093
PRT,Portugal,Middle-aged,2006,3.932910523
PRT,Portugal,Middle-aged,2007,3.843989855
PRT,Portugal,Middle-aged,2008,3.588876651
PRT,Portugal,Middle-aged,2009,4.223167836
PRT,Portugal,Middle-aged,2010,5.778866278
PRT,Portugal,Middle-aged,2011,6.163013129
PRT,Portugal,Middle-aged,2012,7.545070122
PRT,Portugal,Middle-aged,2013,9.133633501
PRT,Portugal,Middle-aged,2014,7.923165582
PRT,Portugal,Middle-aged,2015,6.781650627
SVN,Slovenia,Middle-aged,2004,2.940913513
SVN,Slovenia,Middle-aged,2005,2.825767533
SVN,Slovenia,Middle-aged,2006,2.876812913
SVN,Slovenia,Middle-aged,2007,2.215393685
SVN,Slovenia,Middle-aged,2008,1.761514118
SVN,Slovenia,Middle-aged,2009,1.657585621
SVN,Slovenia,Middle-aged,2010,3.102977791
SVN,Slovenia,Middle-aged,2011,3.581322786
SVN,Slovenia,Middle-aged,2012,4.205520678
SVN,Slovenia,Middle-aged,2013,5.047074074
SVN,Slovenia,Middle-aged,2014,5.213061635
SVN,Slovenia,Middle-aged,2015,4.648618934
SVN,Slovenia,Middle-aged,2016,4.051970906
SVN,Slovenia,Middle-aged,2017,3.003711893
SVN,Slovenia,Middle-aged,2018,2.123915324
SVN,Slovenia,Middle-aged,2019,1.790788296
SVN,Slovenia,Middle-aged,2020,1.772201422
SVN,Slovenia,Middle-aged,2021,1.746246188
SVN,Slovenia,Middle-aged,2022,1.601115450
NZL,New Zealand,Young,2004,0.549053955
NZL,New Zealand,Young,2005,0.279538417
NZL,New Zealand,Young,2006,0.334475182
NZL,New Zealand,Young,2007,0.240425900
NZL,New Zealand,Young,2008,0.208099911
NZL,New Zealand,Young,2009,0.468699309
NZL,New Zealand,Young,2010,0.798585756
NZL,New Zealand,Young,2011,0.677570717
NZL,New Zealand,Young,2012,1.150619541
NZL,New Zealand,Young,2013,1.006814814
NZL,New Zealand,Young,2014,1.064000019
NZL,New Zealand,Young,2015,0.991165652
NZL,New Zealand,Young,2016,0.851729374
NZL,New Zealand,Young,2017,0.843551719
NZL,New Zealand,Young,2018,0.712519741
NZL,New Zealand,Young,2019,0.567803063
NZL,New Zealand,Young,2020,0.498196393
NZL,New Zealand,Young,2021,0.568884706
NZL,New Zealand,Young,2022,0.288894602
FIN,Finland,Middle-aged,2004,1.946954157
FIN,Finland,Middle-aged,2005,1.996681387
FIN,Finland,Middle-aged,2006,1.762233493
FIN,Finland,Middle-aged,2007,1.371368413
FIN,Finland,Middle-aged,2008,1.011920530
FIN,Finland,Middle-aged,2009,1.230529412
FIN,Finland,Middle-aged,2010,1.884907482
FIN,Finland,Middle-aged,2011,1.631113393
FIN,Finland,Middle-aged,2012,1.501592960
FIN,Finland,Middle-aged,2013,1.605532094
FIN,Finland,Middle-aged,2014,1.864434722
FIN,Finland,Middle-aged,2015,2.132588417
FIN,Finland,Middle-aged,2016,2.260692596
FIN,Finland,Middle-aged,2017,2.006112171
FIN,Finland,Middle-aged,2018,1.547773862
FIN,Finland,Middle-aged,2019,1.092602984
FIN,Finland,Middle-aged,2020,1.028682757
FIN,Finland,Middle-aged,2021,1.647327738
FIN,Finland,Middle-aged,2022,1.392261343
LUX,Luxembourg,Middle-aged,2004,0.904243120
LUX,Luxembourg,Middle-aged,2005,1.129524158
LUX,Luxembourg,Middle-aged,2006,1.142871162
LUX,Luxembourg,Middle-aged,2007,1.007495345
LUX,Luxembourg,Middle-aged,2008,1.459148162
LUX,Luxembourg,Middle-aged,2009,1.145736274
LUX,Luxembourg,Middle-aged,2010,1.155091480
LUX,Luxembourg,Middle-aged,2011,1.257660517
LUX,Luxembourg,Middle-aged,2012,1.486854936
LUX,Luxembourg,Middle-aged,2013,1.625554539
LUX,Luxembourg,Middle-aged,2014,1.380797184
LUX,Luxembourg,Middle-aged,2015,1.930481812
LUX,Luxembourg,Middle-aged,2016,2.158822646
LUX,Luxembourg,Middle-aged,2017,2.122064058
LUX,Luxembourg,Middle-aged,2018,1.439292832
LUX,Luxembourg,Middle-aged,2019,1.222227230
LUX,Luxembourg,Middle-aged,2020,1.692472636
LUX,Luxembourg,Middle-aged,2021,1.654018334
LUX,Luxembourg,Middle-aged,2022,1.177140097
POL,Poland,Middle-aged,2004,8.707089968
POL,Poland,Middle-aged,2005,8.938874304
POL,Poland,Middle-aged,2006,6.719713197
POL,Poland,Middle-aged,2007,4.226915336
POL,Poland,Middle-aged,2008,1.962174423
POL,Poland,Middle-aged,2009,1.938237378
POL,Poland,Middle-aged,2010,2.323366621
POL,Poland,Middle-aged,2011,2.849956176
POL,Poland,Middle-aged,2012,3.222100421
POL,Poland,Middle-aged,2013,3.508291877
POL,Poland,Middle-aged,2014,3.058122676
POL,Poland,Middle-aged,2015,2.708903547
POL,Poland,Middle-aged,2016,1.988817914
POL,Poland,Middle-aged,2017,1.368372709
POL,Poland,Middle-aged,2018,0.985295802
POL,Poland,Middle-aged,2019,0.652753297
POL,Poland,Middle-aged,2020,0.566185702
POL,Poland,Middle-aged,2021,0.851907731
POL,Poland,Middle-aged,2022,0.813670247
ESP,Spain,Young,2004,4.999803807
ESP,Spain,Young,2005,2.636530640
ESP,Spain,Young,2006,2.104734173
ESP,Spain,Young,2007,1.818597335
ESP,Spain,Young,2008,2.543259512
ESP,Spain,Young,2009,6.852041325
ESP,Spain,Young,2010,12.114056942
ESP,Spain,Young,2011,14.953510226
ESP,Spain,Young,2012,18.892423522
ESP,Spain,Young,2013,21.882761445
ESP,Spain,Young,2014,21.526083234
ESP,Spain,Young,2015,16.902124935
ESP,Spain,Young,2016,12.866342434
ESP,Spain,Young,2017,10.201909626
ESP,Spain,Young,2018,8.183903981
ESP,Spain,Young,2019,5.997211062
ESP,Spain,Young,2020,6.608882616
ESP,Spain,Young,2021,8.966385870
ESP,Spain,Young,2022,6.079039882
NLD,Netherlands,Young,2004,1.803469340
NLD,Netherlands,Young,2005,2.102182591
NLD,Netherlands,Young,2006,1.926334916
NLD,Netherlands,Young,2007,1.180641197
NLD,Netherlands,Young,2008,0.944139019
NLD,Netherlands,Young,2009,1.093979134
NLD,Netherlands,Young,2010,1.282373848
NLD,Netherlands,Young,2011,1.406659893
NLD,Netherlands,Young,2012,1.611291793
NLD,Netherlands,Young,2013,2.440711883
NLD,Netherlands,Young,2014,2.625974148
NLD,Netherlands,Young,2015,2.346852859
NLD,Netherlands,Young,2016,2.070650008
NLD,Netherlands,Young,2017,1.442425135
NLD,Netherlands,Young,2018,1.094507309
NLD,Netherlands,Young,2019,0.765681236
NLD,Netherlands,Young,2020,0.901219029
NLD,Netherlands,Young,2021,0.516048052
NLD,Netherlands,Young,2022,0.262932650
ZAF,South Africa,Young,2004,23.212115
ZAF,South Africa,Young,2005,20.26322987
ZAF,South Africa,Young,2006,17.26237342
ZAF,South Africa,Young,2007,16.81129674
ZAF,South Africa,Young,2008,13.54005035
ZAF,South Africa,Young,2009,14.35090459
ZAF,South Africa,Young,2010,17.03576174
ZAF,South Africa,Young,2011,19.31803531
ZAF,South Africa,Young,2012,18.27270212
ZAF,South Africa,Young,2013,18.28717603
ZAF,South Africa,Young,2014,17.61668002
ZAF,South Africa,Young,2015,17.87825145
ZAF,South Africa,Young,2016,18.72942363
ZAF,South Africa,Young,2017,19.22077998
ZAF,South Africa,Young,2018,19.8078935
ZAF,South Africa,Young,2019,21.81943948
ZAF,South Africa,Young,2020,25.21825468
ZAF,South Africa,Young,2021,31.96548849
TUR,Türkiye,Young,2004,7.440200800
TUR,Türkiye,Young,2005,7.146077547
TUR,Türkiye,Young,2006,6.200471991
TUR,Türkiye,Young,2007,5.308917519
TUR,Türkiye,Young,2008,4.834792690
TUR,Türkiye,Young,2009,5.618
TUR,Türkiye,Young,2010,4.9809375
TUR,Türkiye,Young,2011,3.577045673
TUR,Türkiye,Young,2012,3.432927835
TUR,Türkiye,Young,2013,3.551764294
TUR,Türkiye,Young,2014,2.571948658
TUR,Türkiye,Young,2015,2.567145038
TUR,Türkiye,Young,2016,2.808834518
TUR,Türkiye,Young,2017,3.051439663
TUR,Türkiye,Young,2018,2.891880342
TUR,Türkiye,Young,2019,4.325106383
TUR,Türkiye,Young,2020,4.696365601
TUR,Türkiye,Young,2021,4.953357270
TUR,Türkiye,Young,2022,2.793143695
CZE,Czechia,Middle-aged,2004,4.153128452
CZE,Czechia,Middle-aged,2005,4.118296656
CZE,Czechia,Middle-aged,2006,3.840456185
CZE,Czechia,Middle-aged,2007,2.869929759
CZE,Czechia,Middle-aged,2008,2.150247391
CZE,Czechia,Middle-aged,2009,1.989399754
CZE,Czechia,Middle-aged,2010,2.988250621
CZE,Czechia,Middle-aged,2011,2.609214460
CZE,Czechia,Middle-aged,2012,2.799181155
CZE,Czechia,Middle-aged,2013,2.984108205
CZE,Czechia,Middle-aged,2014,2.675477283
CZE,Czechia,Middle-aged,2015,2.355702500
CZE,Czechia,Middle-aged,2016,1.600465383
CZE,Czechia,Middle-aged,2017,1.021029099
CZE,Czechia,Middle-aged,2018,0.657298477
CZE,Czechia,Middle-aged,2019,0.521588011
CZE,Czechia,Middle-aged,2020,0.526072763
CZE,Czechia,Middle-aged,2021,0.802050472
CZE,Czechia,Middle-aged,2022,0.776600579
LTU,Lithuania,Middle-aged,2004,5.456372557
LTU,Lithuania,Middle-aged,2005,4.519756886
LTU,Lithuania,Middle-aged,2006,2.582119279
LTU,Lithuania,Middle-aged,2007,1.311174312
LTU,Lithuania,Middle-aged,2008,1.171947456
LTU,Lithuania,Middle-aged,2009,3.055145578
LTU,Lithuania,Middle-aged,2010,7.296842653
LTU,Lithuania,Middle-aged,2011,7.889326720
LTU,Lithuania,Middle-aged,2012,6.619739260
LTU,Lithuania,Middle-aged,2013,5.028862709
LTU,Lithuania,Middle-aged,2014,4.650914189
LTU,Lithuania,Middle-aged,2015,3.945196048
LTU,Lithuania,Middle-aged,2016,2.997996511
LTU,Lithuania,Middle-aged,2017,2.619201822
LTU,Lithuania,Middle-aged,2018,1.816923293
LTU,Lithuania,Middle-aged,2019,1.651977588
LTU,Lithuania,Middle-aged,2020,2.123048683
LTU,Lithuania,Middle-aged,2021,2.267484285
LTU,Lithuania,Middle-aged,2022,2.071307379
DNK,Denmark,Middle-aged,2004,1.103912493
DNK,Denmark,Middle-aged,2005,0.952771915
DNK,Denmark,Middle-aged,2006,0.597434083
DNK,Denmark,Middle-aged,2007,0.445868394
DNK,Denmark,Middle-aged,2008,0.291410278
DNK,Denmark,Middle-aged,2009,0.596786413
DNK,Denmark,Middle-aged,2010,1.593221004
DNK,Denmark,Middle-aged,2011,1.842161417
DNK,Denmark,Middle-aged,2012,2.285203494
DNK,Denmark,Middle-aged,2013,1.937743802
DNK,Denmark,Middle-aged,2014,1.798868698
DNK,Denmark,Middle-aged,2015,1.841968572
ITA,Italy,Young,2004,10.238117881
ITA,Italy,Young,2005,10.913520728
ITA,Italy,Young,2006,9.494652214
ITA,Italy,Young,2007,8.360341545
ITA,Italy,Young,2008,8.105389255
ITA,Italy,Young,2009,10.241936037
ITA,Italy,Young,2010,12.418292187
ITA,Italy,Young,2011,13.912047814
ITA,Italy,Young,2012,17.528573096
ITA,Italy,Young,2013,21.288470758
ITA,Italy,Young,2014,25.460139302
ITA,Italy,Young,2015,22.468508944
ITA,Italy,Young,2016,20.005864433
