REF_AREA,Reference area,Measure,Pollutant,Unit of measure,ISO,ISO 1,TIME_PERIOD,OBS_VALUE
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,1990,37.135284
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,1995,37.020916
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2000,38.240574
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2001,38.538391
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2002,39.138409
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2003,39.685356
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2004,38.313622
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2005,38.925964
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2006,39.692608
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2007,39.573662
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2008,39.072422
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2009,39.822186
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2010,34.04467
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2011,38.218975
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2012,40.365524
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2013,43.954273
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2014,43.365261
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2015,40.948135
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2016,40.107639
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2017,37.477699
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2018,36.207394
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2019,33.014091
IPAC,International Programme for Action on Climate Parties,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,IPAC,International Programme for Action on Climate Parties,2020,29.001741
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,1990,21.697462
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,1995,24.984655
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2000,24.839598
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2001,24.27639
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2002,24.891804
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2003,26.910019
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2004,25.066166
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2005,24.466129
ISR,Israel,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,ISR,Israel,2006,25.819424
