REF_AREA,Reference area,Measure,Unit of measure,Sex,Age,TIME_PERIOD
AUS,Australia,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Male,Not applicable,2022
AUT,Austria,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2014
AUT,Austria,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2018
AUT,Austria,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2020
AUT,Austria,Employment rate,Percentage of population in the same age,Not applicable,From 65 to 69 years,2022
BEL,Belgium,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2014
BEL,Belgium,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2018
BEL,Belgium,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2020
BEL,Belgium,Employment rate,Percentage of population in the same age,Not applicable,From 60 to 64 years,2022
CZE,Czechia,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,Female,Not applicable,2022
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1970
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1971
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1972
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1973
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1974
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1975
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1976
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1977
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1978
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1979
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1980
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1981
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1982
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1983
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1984
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1985
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1986
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1987
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1988
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1989
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1990
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1991
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1992
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1993
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1994
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1995
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1996
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1997
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1998
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,1999
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2000
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2001
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2002
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2003
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2004
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2005
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2006
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2007
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2008
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2009
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2010
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2011
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2012
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2013
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2014
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2015
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2016
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2017
CZE,Czechia,Effective labour market exit age,Years,Male,Not applicable,2018
