REF_AREA,Reference area,Type of expenditure,Unit of measure,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation status
CHE,Switzerland,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
CHE,Switzerland,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
CHE,Switzerland,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
BEL,Belgium,Expenditure for educational institutions,Percentage of GDP,2015,5.647653,A,Normal value
BEL,Belgium,Expenditure for educational institutions,Percentage of GDP,2016,5.690906,A,Normal value
BEL,Belgium,Expenditure for educational institutions,Percentage of GDP,2017,5.679932,A,Normal value
FRA,France,Expenditure for educational institutions,Percentage of GDP,2008,5.178567,A,Normal value
FRA,France,Expenditure for educational institutions,Percentage of GDP,2009,5.468454,A,Normal value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2008,4.925323,A,Normal value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2009,5.575072,A,Normal value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2010,5.326808,A,Normal value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2011,5.516528,A,Normal value
JPN,Japan,Expenditure for educational institutions,Percentage of GDP,2010,4.318588,A,Normal value
JPN,Japan,Expenditure for educational institutions,Percentage of GDP,2011,4.219763,A,Normal value
JPN,Japan,Expenditure for educational institutions,Percentage of GDP,2020,4.0587382,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,1995,5.785995,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2000,5.11374,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2005,5.345207,A,Normal value
BEL,Belgium,Expenditure for educational institutions,Percentage of GDP,2012,5.784721,A,Normal value
BEL,Belgium,Expenditure for educational institutions,Percentage of GDP,2013,5.837977,A,Normal value
BEL,Belgium,Expenditure for educational institutions,Percentage of GDP,2014,5.769122,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2013,5.70701,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2014,5.679844,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2015,5.680052,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2016,5.512632,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2017,5.182091,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2018,5.145586,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2019,5.242933,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2020,5.4414549,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,1995,4.019825,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2000,3.315013,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2005,3.693321,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2008,3.594013,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2009,3.932655,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2010,3.84564,A,Normal value
