REF_AREA,Reference area,Measure,Unit of measure,Age,Health status,TIME_PERIOD,OBS_VALUE
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1980,73.5
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1981,75.4
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1982,74.9
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1983,76.5
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1984,74.4
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1985,76
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1986,74.4
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1987,72.5
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1988,72.8
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1989,72.7
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1990,72.5
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1991,72.4
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1992,73.8
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1993,78.1
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1994,82.7
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1995,81.2
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1996,72
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1997,70.3
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1998,70.4
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1999,72.9
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2000,72.8
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2001,70.1
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2002,73.2
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2003,70
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2004,84.8
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,84.9
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,84.1
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,87.2
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,87.2
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,88.2
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,87.8
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,88.7
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,84.3
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,81.4
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,86.6
FIN,Finland,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,84.1
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1983,87.4
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1984,86.9
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1985,87.4
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1986,87.7
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1987,87.4
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1988,88.8
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1989,88.4
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1990,85.8
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1991,85.8
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1992,86.7
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1993,85.6
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1994,85.6
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1995,86.7
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1996,87.8
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1997,87.1
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1998,86.6
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1999,85.4
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2000,86
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2001,86.6
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2002,85.5
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2003,85.8
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2004,86.1
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,86.9
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,85.4
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,85.8
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,86.2
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,86.2
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,87.3
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,86
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,85.9
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,84.7
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,87.7
NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,86.8
