Country Names,REF_AREA,ISO,TIME_PERIOD,Age,% of pop percieved  health,Well-being value,Measure,Unit of measure,65+ values,Mean Exposure to PM2.5 Mg/metere3,POLLUTANT,Total man-made emissions in Tonnes,% of GDP spent on Ed.
Australia,AUS,,2022,,,,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,26,,,,
Austria,AUT,,2014,,,,Employment rate,Percentage of population in the same age,10.2,,,,
Austria,AUT,,2018,,,,Employment rate,Percentage of population in the same age,9.4,,,,
Austria,AUT,,2020,,,,Employment rate,Percentage of population in the same age,8.3,,,,
Austria,AUT,,2022,,,,Employment rate,Percentage of population in the same age,10.4,,,,
Belgium,BEL,,2014,,,,Employment rate,Percentage of population in the same age,23.6,,,,
Belgium,BEL,,2018,,,,Employment rate,Percentage of population in the same age,30,,,,
Belgium,BEL,,2020,,,,Employment rate,Percentage of population in the same age,34.3,,,,
Belgium,BEL,,2022,,,,Employment rate,Percentage of population in the same age,39.1,,,,
Czechia,CZE,,2022,,,,Gross pension replacement rate at 200% of average wage,Percentage of gross pre-retirement earnings at the same income level,32.1,,,,
Czechia,CZE,,1970,,,,Effective labour market exit age,Years,62.8,,,,
Czechia,CZE,,1971,,,,Effective labour market exit age,Years,62.4,,,,
Czechia,CZE,,1972,,,,Effective labour market exit age,Years,62.1,,,,
Czechia,CZE,,1973,,,,Effective labour market exit age,Years,61.8,,,,
Czechia,CZE,,1974,,,,Effective labour market exit age,Years,61.4,,,,
Czechia,CZE,,1975,,,,Effective labour market exit age,Years,61,,,,
Czechia,CZE,,1976,,,,Effective labour market exit age,Years,61.1,,,,
Czechia,CZE,,1977,,,,Effective labour market exit age,Years,61.1,,,,
Czechia,CZE,,1978,,,,Effective labour market exit age,Years,61.2,,,,
Czechia,CZE,,1979,,,,Effective labour market exit age,Years,61.4,,,,
Czechia,CZE,,1980,,,,Effective labour market exit age,Years,61.5,,,,
Czechia,CZE,,1981,,,,Effective labour market exit age,Years,61.7,,,,
Czechia,CZE,,1982,,,,Effective labour market exit age,Years,61.9,,,,
Czechia,CZE,,1983,,,,Effective labour market exit age,Years,62.1,,,,
Czechia,CZE,,1984,,,,Effective labour market exit age,Years,62.3,,,,
Czechia,CZE,,1985,,,,Effective labour market exit age,Years,62.4,,,,
Czechia,CZE,,1986,,,,Effective labour market exit age,Years,62.2,,,,
Czechia,CZE,,1987,,,,Effective labour market exit age,Years,62.1,,,,
Czechia,CZE,,1988,,,,Effective labour market exit age,Years,61.9,,,,
Czechia,CZE,,1989,,,,Effective labour market exit age,Years,61.8,,,,
Czechia,CZE,,1990,,,,Effective labour market exit age,Years,61.6,,,,
Czechia,CZE,,1991,,,,Effective labour market exit age,Years,61.5,,,,
Czechia,CZE,,1992,,,,Effective labour market exit age,Years,60.9,,,,
Czechia,CZE,,1993,,,,Effective labour market exit age,Years,60.3,,,,
Czechia,CZE,,1994,,,,Effective labour market exit age,Years,60.4,,,,
Czechia,CZE,,1995,,,,Effective labour market exit age,Years,60.7,,,,
Czechia,CZE,,1996,,,,Effective labour market exit age,Years,60.5,,,,
Czechia,CZE,,1997,,,,Effective labour market exit age,Years,60.7,,,,
Czechia,CZE,,1998,,,,Effective labour market exit age,Years,60.6,,,,
