STRUCTURE_NAME,REF_AREA,Reference area,Measure,Unit of measure,Age,Domain,TIME_PERIOD
Current well-being by age,HUN,Hungary,Life satisfaction,0-10 scale,Young,Subjective well-being,2013
Current well-being by age,HUN,Hungary,Life satisfaction,0-10 scale,Young,Subjective well-being,2018
Current well-being by age,HUN,Hungary,Life satisfaction,0-10 scale,Young,Subjective well-being,2021
Current well-being by age,HUN,Hungary,Life satisfaction,0-10 scale,Young,Subjective well-being,2022
Current well-being by age,HUN,Hungary,Life satisfaction,0-10 scale,Young,Subjective well-being,2023
Current well-being by age,ISL,Iceland,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Young,Safety,2012
Current well-being by age,ISL,Iceland,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Young,Safety,2015
Current well-being by age,ISL,Iceland,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Young,Safety,2022
Current well-being by age,NLD,Netherlands,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2010
Current well-being by age,NLD,Netherlands,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2011
Current well-being by age,NLD,Netherlands,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2012
Current well-being by age,NLD,Netherlands,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2013
Current well-being by age,NLD,Netherlands,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2014
Current well-being by age,NLD,Netherlands,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2015
Current well-being by age,NLD,Netherlands,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2016
Current well-being by age,NLD,Netherlands,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2017
Current well-being by age,NLD,Netherlands,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2018
Current well-being by age,NLD,Netherlands,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2019
Current well-being by age,NLD,Netherlands,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2020
Current well-being by age,NLD,Netherlands,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2021
Current well-being by age,CZE,Czechia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2010
Current well-being by age,CZE,Czechia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2011
Current well-being by age,CZE,Czechia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2012
Current well-being by age,CZE,Czechia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2013
Current well-being by age,CZE,Czechia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2014
Current well-being by age,CZE,Czechia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2015
Current well-being by age,CZE,Czechia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2016
Current well-being by age,CZE,Czechia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2017
Current well-being by age,CZE,Czechia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2018
Current well-being by age,CZE,Czechia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2020
Current well-being by age,CZE,Czechia,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2021
Current well-being by age,DNK,Denmark,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2010
Current well-being by age,DNK,Denmark,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2011
Current well-being by age,DNK,Denmark,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2012
Current well-being by age,DNK,Denmark,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2013
Current well-being by age,DNK,Denmark,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2014
Current well-being by age,DNK,Denmark,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2015
Current well-being by age,DNK,Denmark,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2016
Current well-being by age,DNK,Denmark,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2017
Current well-being by age,DNK,Denmark,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2018
Current well-being by age,DNK,Denmark,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2019
Current well-being by age,DNK,Denmark,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2020
Current well-being by age,DNK,Denmark,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2021
Current well-being by age,DNK,Denmark,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2022
Current well-being by age,CRI,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2010
Current well-being by age,CRI,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2011
Current well-being by age,CRI,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2012
Current well-being by age,CRI,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2013
Current well-being by age,CRI,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2014
Current well-being by age,CRI,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2015
Current well-being by age,CRI,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2016
Current well-being by age,CRI,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2017
Current well-being by age,CRI,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2018
Current well-being by age,CRI,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2019
Current well-being by age,CRI,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2020
Current well-being by age,CRI,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2021
Current well-being by age,CRI,Costa Rica,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2022
Current well-being by age,LTU,Lithuania,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2010
Current well-being by age,LTU,Lithuania,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2011
Current well-being by age,LTU,Lithuania,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2012
Current well-being by age,LTU,Lithuania,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2013
Current well-being by age,LTU,Lithuania,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2014
Current well-being by age,LTU,Lithuania,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2015
Current well-being by age,LTU,Lithuania,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2016
Current well-being by age,LTU,Lithuania,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2017
Current well-being by age,LTU,Lithuania,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2018
Current well-being by age,LTU,Lithuania,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2019
Current well-being by age,LTU,Lithuania,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2020
Current well-being by age,LTU,Lithuania,Social support,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Social connections,2021
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2004
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2005
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2006
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2007
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2008
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2009
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2010
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2011
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2012
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2013
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2014
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2015
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2016
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2017
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2018
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2019
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2020
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2021
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2022
Current well-being by age,GBR,United Kingdom,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2023
