STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,EDUCATION_LEV,Education level,DOMAIN,Domain,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,HUN,Hungary,11_1,Life satisfaction,0_TO_10,0-10 scale,YOUNG,Young,_T,Total,_T,Total,HSL_11,Subjective well-being,2013,,6.96240653729013,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,HUN,Hungary,11_1,Life satisfaction,0_TO_10,0-10 scale,YOUNG,Young,_T,Total,_T,Total,HSL_11,Subjective well-being,2018,,7.38238941749999,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,HUN,Hungary,11_1,Life satisfaction,0_TO_10,0-10 scale,YOUNG,Young,_T,Total,_T,Total,HSL_11,Subjective well-being,2021,,7.10623082046768,,U,Low reliability,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,HUN,Hungary,11_1,Life satisfaction,0_TO_10,0-10 scale,YOUNG,Young,_T,Total,_T,Total,HSL_11,Subjective well-being,2022,,7.46481601603442,,U,Low reliability,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,HUN,Hungary,11_1,Life satisfaction,0_TO_10,0-10 scale,YOUNG,Young,_T,Total,_T,Total,HSL_11,Subjective well-being,2023,,7.7,,U,Low reliability,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,ISL,Iceland,10_2,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,YOUNG,Young,_T,Total,_T,Total,HSL_10,Safety,2012,,88.67394328,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,ISL,Iceland,10_2,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,YOUNG,Young,_T,Total,_T,Total,HSL_10,Safety,2015,,88.67394328,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,ISL,Iceland,10_2,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,YOUNG,Young,_T,Total,_T,Total,HSL_10,Safety,2022,,88.67394328,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,NLD,Netherlands,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,YOUNG,Young,_T,Total,_T,Total,HSL_11,Subjective well-being,2010,,6.261643022,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,NLD,Netherlands,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,YOUNG,Young,_T,Total,_T,Total,HSL_11,Subjective well-being,2011,,6.261643022,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,NLD,Netherlands,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,YOUNG,Young,_T,Total,_T,Total,HSL_11,Subjective well-being,2012,,6.261643022,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,NLD,Netherlands,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,YOUNG,Young,_T,Total,_T,Total,HSL_11,Subjective well-being,2013,,6.261643022,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,NLD,Netherlands,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,YOUNG,Young,_T,Total,_T,Total,HSL_11,Subjective well-being,2014,,6.261643022,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,NLD,Netherlands,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,YOUNG,Young,_T,Total,_T,Total,HSL_11,Subjective well-being,2015,,6.261643022,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,NLD,Netherlands,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,YOUNG,Young,_T,Total,_T,Total,HSL_11,Subjective well-being,2016,,6.261643022,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,NLD,Netherlands,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,YOUNG,Young,_T,Total,_T,Total,HSL_11,Subjective well-being,2017,,6.261643022,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,NLD,Netherlands,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,YOUNG,Young,_T,Total,_T,Total,HSL_11,Subjective well-being,2018,,6.261643022,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,NLD,Netherlands,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,YOUNG,Young,_T,Total,_T,Total,HSL_11,Subjective well-being,2019,,6.261643022,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,NLD,Netherlands,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,YOUNG,Young,_T,Total,_T,Total,HSL_11,Subjective well-being,2020,,6.261643022,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,NLD,Netherlands,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,YOUNG,Young,_T,Total,_T,Total,HSL_11,Subjective well-being,2021,,6.261643022,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,CZE,Czechia,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_11,Subjective well-being,2010,,13.17363232,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,CZE,Czechia,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_11,Subjective well-being,2011,,13.17363232,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,CZE,Czechia,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_11,Subjective well-being,2012,,13.17363232,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,CZE,Czechia,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_11,Subjective well-being,2013,,13.17363232,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,CZE,Czechia,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_11,Subjective well-being,2014,,13.17363232,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,CZE,Czechia,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_11,Subjective well-being,2015,,13.17363232,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,CZE,Czechia,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_11,Subjective well-being,2016,,13.17363232,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,CZE,Czechia,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_11,Subjective well-being,2017,,13.17363232,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,CZE,Czechia,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_11,Subjective well-being,2018,,13.17363232,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,CZE,Czechia,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_11,Subjective well-being,2020,,13.17363232,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB_AGE(1.0),Current well-being by age,I,CZE,Czechia,11_2,Negative affect balance,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,MID,Middle-aged,_T,Total,_T,Total,HSL_11,Subjective well-being,2021,,13.17363232,,A,Normal value,0,Units,2,Two,,
