STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,OPTIONALITY,Optionality,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,AUS,Australia,A,Annual,GPRR200,Gross pension replacement rate at 200% of average wage,PT_EARN_G_PRE_RET_INC,Percentage of gross pre-retirement earnings at the same income level,M,Male,_Z,Not applicable,MV,Mandatory and voluntary,2022,,26,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,AUT,Austria,A,Annual,ER,Employment rate,PT_POP_AGE,Percentage of population in the same age,_Z,Not applicable,Y65T69,From 65 to 69 years,_Z,Not applicable,2014,,10.2,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,AUT,Austria,A,Annual,ER,Employment rate,PT_POP_AGE,Percentage of population in the same age,_Z,Not applicable,Y65T69,From 65 to 69 years,_Z,Not applicable,2018,,9.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,AUT,Austria,A,Annual,ER,Employment rate,PT_POP_AGE,Percentage of population in the same age,_Z,Not applicable,Y65T69,From 65 to 69 years,_Z,Not applicable,2020,,8.3,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,AUT,Austria,A,Annual,ER,Employment rate,PT_POP_AGE,Percentage of population in the same age,_Z,Not applicable,Y65T69,From 65 to 69 years,_Z,Not applicable,2022,,10.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,BEL,Belgium,A,Annual,ER,Employment rate,PT_POP_AGE,Percentage of population in the same age,_Z,Not applicable,Y60T64,From 60 to 64 years,_Z,Not applicable,2014,,23.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,BEL,Belgium,A,Annual,ER,Employment rate,PT_POP_AGE,Percentage of population in the same age,_Z,Not applicable,Y60T64,From 60 to 64 years,_Z,Not applicable,2018,,30,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,BEL,Belgium,A,Annual,ER,Employment rate,PT_POP_AGE,Percentage of population in the same age,_Z,Not applicable,Y60T64,From 60 to 64 years,_Z,Not applicable,2020,,34.3,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,BEL,Belgium,A,Annual,ER,Employment rate,PT_POP_AGE,Percentage of population in the same age,_Z,Not applicable,Y60T64,From 60 to 64 years,_Z,Not applicable,2022,,39.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,GPRR200,Gross pension replacement rate at 200% of average wage,PT_EARN_G_PRE_RET_INC,Percentage of gross pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2022,,32.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1970,,62.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1971,,62.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1972,,62.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1973,,61.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1974,,61.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1975,,61,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CZE,Czechia,A,Annual,ELMEA,Effective labour market exit age,Y,Years,M,Male,_Z,Not applicable,_Z,Not applicable,1976,,61.1,,A,Normal value,0,Units,1,One
