Year,NOC,Total Athletes,Medal Count,Average Age (M),Average Height (M),Average Weight (M),Average Age (F),Average Height (F),Average Weight (F)
1896,AUS,3,4.0,22.25,,,,,
1896,AUT,3,5.0,21.75,,,,,
1896,DEN,3,6.0,25.933333333333334,,,,,
1896,FRA,12,11.0,19.789473684210527,,,,,
1896,GBR,14,11.0,23.941176470588236,188.0,102.0,,,
1896,GER,21,33.0,23.406626506024097,163.6818181818182,64.71428571428571,,,
1896,GRE,109,48.0,17.403846153846153,175.66666666666666,78.0,,,
1896,HUN,7,6.0,22.642857142857142,,,,,
1896,ITA,1,0.0,,,,,,
1896,SUI,3,3.0,30.0,,,,,
1896,SWE,1,0.0,21.0,,,,,
1896,USA,14,20.0,23.074074074074076,179.875,72.46153846153847,,,
1900,ARG,1,0.0,23.0,,,,,
1900,AUS,7,10.0,23.200000000000003,177.25,70.75,,,
1900,AUT,17,6.0,24.5,176.5,,,,
1900,BEL,74,45.0,29.222539682539683,,64.5,,,
1900,BOH,9,4.0,27.125,,,35.0,,
1900,BRA,1,0.0,20.0,,,,,
1900,CAN,4,2.0,25.571428571428573,169.25,64.75,,,
1900,COL,11,11.0,23.33333333333333,166.0,66.0,,,
1900,CUB,1,2.0,16.0,,,,,
1900,DEN,17,12.0,30.871212121212118,,,,,
1900,ESP,10,2.0,34.5,,,,,
1900,FRA,878,256.0,33.27944014146705,176.7111111111111,74.75,31.875,,
1900,GBR,174,160.0,30.915771349862258,181.3125,79.16666666666666,28.0,,
1900,GER,83,45.0,25.992368125701457,168.5,70.25,,,
1900,GRE,12,9.0,24.38888888888889,,64.5,,,
1900,HAI,31,29.0,24.904761904761905,172.0,72.0,,,
1900,HUN,18,5.0,20.153846153846157,187.0,83.0,,,
1900,IND,1,2.0,24.0,,,,,
1900,IRI,1,0.0,,,,,,
1900,ITA,23,5.0,27.642857142857142,,,,,
1900,LUX,1,1.0,22.0,,,,,
1900,MEX,4,4.0,41.333333333333336,,,,,
1900,NED,45,37.0,26.913043478260867,,60.0,,,
1900,NOR,7,9.0,31.96551724137931,,,,,
1900,NZL,7,7.0,29.2,,,,,
1900,PER,1,0.0,29.0,,,,,
1900,ROU,1,0.0,23.0,,,,,
1900,RUS,5,0.0,31.0,,,,,
1900,SUI,18,21.0,38.716216216216225,168.0,,32.0,,
1900,SWE,16,7.0,27.01190476190476,190.0,88.0,,,
1900,USA,118,102.0,30.091534391534392,177.13125,76.39393939393939,23.5,,
1904,AUS,2,4.0,23.0,,,,,
1904,AUT,8,9.0,26.416666666666664,169.41666666666669,71.0,,,
1904,CAN,56,48.0,26.029761904761905,175.375,74.90476190476191,,,
1904,CUB,3,5.0,24.83333333333333,155.0,43.0,,,
1904,FRA,6,6.0,21.5,170.5,59.0,,,
1904,GBR,6,2.0,28.0,187.0,80.5,,,
1904,GER,41,20.0,24.584615384615383,173.88888888888889,74.33333333333334,,,
1904,GRE,16,2.0,24.0,183.5,78.66666666666666,,,
1904,HUN,4,4.0,21.55555555555556,187.0,83.0,,,
1904,ITA,1,0.0,29.0,172.0,,,,
1904,NFL,1,0.0,21.0,170.0,57.0,,,
1904,NOR,9,2.0,26.225,173.0,,,,
1904,RSA,8,0.0,,,,,,
1904,SUI,3,3.0,22.571428571428573,180.0,,,,
1904,USA,709,397.0,27.561580846781993,173.1505707762557,70.65051282051283,51.9,,
