Reference area,REF_AREA,Measure,Unit of measure,TIME_PERIOD,Avoidable_mortality_values
Argentina,ARG,Avoidable mortality,Deaths,2000,97487.0
Argentina,ARG,Avoidable mortality,Deaths,2001,97485.0
Argentina,ARG,Avoidable mortality,Deaths,2002,97594.0
Argentina,ARG,Avoidable mortality,Deaths,2003,98405.0
Argentina,ARG,Avoidable mortality,Deaths,2004,93933.0
Argentina,ARG,Avoidable mortality,Deaths,2005,92507.0
Argentina,ARG,Avoidable mortality,Deaths,2006,92420.0
Argentina,ARG,Avoidable mortality,Deaths,2007,94584.0
Argentina,ARG,Avoidable mortality,Deaths,2008,92026.0
Argentina,ARG,Avoidable mortality,Deaths,2009,91843.0
Argentina,ARG,Avoidable mortality,Deaths,2010,92322.0
Argentina,ARG,Avoidable mortality,Deaths,2011,92918.0
Argentina,ARG,Avoidable mortality,Deaths,2012,94661.0
Argentina,ARG,Avoidable mortality,Deaths,2013,97478.0
Argentina,ARG,Avoidable mortality,Deaths,2014,97388.0
Argentina,ARG,Avoidable mortality,Deaths,2015,101081.0
Argentina,ARG,Avoidable mortality,Deaths,2016,104584.0
Argentina,ARG,Avoidable mortality,Deaths,2017,101613.0
Argentina,ARG,Avoidable mortality,Deaths,2018,100852.0
Argentina,ARG,Avoidable mortality,Deaths,2019,99429.0
Argentina,ARG,Avoidable mortality,Deaths,2020,119234.0
Argentina,ARG,Avoidable mortality,Deaths,2021,154882.0
Argentina,ARG,Preventable mortality,Deaths,2000,51685.0
Argentina,ARG,Preventable mortality,Deaths,2001,51688.0
Argentina,ARG,Preventable mortality,Deaths,2002,51170.0
Argentina,ARG,Preventable mortality,Deaths,2003,50879.0
Argentina,ARG,Preventable mortality,Deaths,2004,48479.5
Argentina,ARG,Preventable mortality,Deaths,2005,48158.0
Argentina,ARG,Preventable mortality,Deaths,2006,48350.5
Argentina,ARG,Preventable mortality,Deaths,2007,49175.5
Argentina,ARG,Preventable mortality,Deaths,2008,48198.0
Argentina,ARG,Preventable mortality,Deaths,2009,46944.0
Argentina,ARG,Preventable mortality,Deaths,2010,47523.5
Argentina,ARG,Preventable mortality,Deaths,2011,48528.0
Argentina,ARG,Preventable mortality,Deaths,2012,49638.5
Argentina,ARG,Preventable mortality,Deaths,2013,50544.0
Argentina,ARG,Preventable mortality,Deaths,2014,50516.5
Argentina,ARG,Preventable mortality,Deaths,2015,52312.0
Argentina,ARG,Preventable mortality,Deaths,2016,52403.0
Argentina,ARG,Preventable mortality,Deaths,2017,51420.5
Argentina,ARG,Preventable mortality,Deaths,2018,50855.5
Argentina,ARG,Preventable mortality,Deaths,2019,49351.0
Argentina,ARG,Preventable mortality,Deaths,2020,71188.5
Argentina,ARG,Preventable mortality,Deaths,2021,98999.5
Argentina,ARG,Treatable mortality,Deaths,2000,45802.0
Argentina,ARG,Treatable mortality,Deaths,2001,45797.0
