Country Name,Country Code,Series Name,year,gov_stability_values
Afghanistan,AFG,Control of Corruption: Estimate,1996 (YR1996),-1.29170477390289
Afghanistan,AFG,Control of Corruption: Estimate,1998 (YR1998),-1.17601227760315
Afghanistan,AFG,Control of Corruption: Estimate,2000 (YR2000),-1.27172422409058
Afghanistan,AFG,Control of Corruption: Estimate,2002 (YR2002),-1.25113701820374
Afghanistan,AFG,Control of Corruption: Estimate,2003 (YR2003),-1.34417974948883
Afghanistan,AFG,Control of Corruption: Estimate,2004 (YR2004),-1.35064733028412
Afghanistan,AFG,Control of Corruption: Estimate,2005 (YR2005),-1.44725239276886
Afghanistan,AFG,Control of Corruption: Estimate,2006 (YR2006),-1.44629228115082
Afghanistan,AFG,Control of Corruption: Estimate,2007 (YR2007),-1.61325109004974
Afghanistan,AFG,Control of Corruption: Estimate,2008 (YR2008),-1.67209553718567
Afghanistan,AFG,Control of Corruption: Estimate,2009 (YR2009),-1.55229878425598
Afghanistan,AFG,Control of Corruption: Estimate,2010 (YR2010),-1.64539110660553
Afghanistan,AFG,Control of Corruption: Estimate,2011 (YR2011),-1.60047078132629
Afghanistan,AFG,Control of Corruption: Estimate,2012 (YR2012),-1.43037283420563
Afghanistan,AFG,Control of Corruption: Estimate,2013 (YR2013),-1.44590842723846
Afghanistan,AFG,Control of Corruption: Estimate,2014 (YR2014),-1.36474287509918
Afghanistan,AFG,Control of Corruption: Estimate,2015 (YR2015),-1.35423982143402
Afghanistan,AFG,Control of Corruption: Estimate,2016 (YR2016),-1.54035270214081
Afghanistan,AFG,Control of Corruption: Estimate,2017 (YR2017),-1.53190970420837
Afghanistan,AFG,Control of Corruption: Estimate,2018 (YR2018),-1.50288057327271
Afghanistan,AFG,Control of Corruption: Estimate,2019 (YR2019),-1.41949915885925
Afghanistan,AFG,Control of Corruption: Estimate,2020 (YR2020),-1.49369978904724
Afghanistan,AFG,Control of Corruption: Estimate,2021 (YR2021),-1.15232741832733
Afghanistan,AFG,Control of Corruption: Estimate,2022 (YR2022),-1.18377649784088
Afghanistan,AFG,Control of Corruption: Number of Sources,1996 (YR1996),2
Afghanistan,AFG,Control of Corruption: Number of Sources,1998 (YR1998),2
Afghanistan,AFG,Control of Corruption: Number of Sources,2000 (YR2000),2
Afghanistan,AFG,Control of Corruption: Number of Sources,2002 (YR2002),2
Afghanistan,AFG,Control of Corruption: Number of Sources,2003 (YR2003),3
Afghanistan,AFG,Control of Corruption: Number of Sources,2004 (YR2004),5
Afghanistan,AFG,Control of Corruption: Number of Sources,2005 (YR2005),5
Afghanistan,AFG,Control of Corruption: Number of Sources,2006 (YR2006),7
Afghanistan,AFG,Control of Corruption: Number of Sources,2007 (YR2007),6
Afghanistan,AFG,Control of Corruption: Number of Sources,2008 (YR2008),7
Afghanistan,AFG,Control of Corruption: Number of Sources,2009 (YR2009),8
Afghanistan,AFG,Control of Corruption: Number of Sources,2010 (YR2010),9
Afghanistan,AFG,Control of Corruption: Number of Sources,2011 (YR2011),9
Afghanistan,AFG,Control of Corruption: Number of Sources,2012 (YR2012),10
Afghanistan,AFG,Control of Corruption: Number of Sources,2013 (YR2013),11
Afghanistan,AFG,Control of Corruption: Number of Sources,2014 (YR2014),11
