Country Name,Country Code,Series Name,year_T1,values_T1
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/1991,1.702300868
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/1992,1.522712269
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/1993,1.316624491
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/1994,1.199190946
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/1995,9.662676713
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/1996,10.455572954
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/1997,10.117745559
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/1998,9.126623227
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/1999,8.805289514
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2000,8.713139065
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2002,2.43859714
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2003,2.447185041
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2004,0.487494414
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2005,0.466680483
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2006,0.84035095
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2007,0.833893214
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2008,1.513632759
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2009,3.931710654
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2010,4.552883268
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2011,4.796595326
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2012,4.496158354
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2013,4.195231735
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2014,3.727055016
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2015,3.700732407
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2016,3.623538777
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2017,3.490158887
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2018,2.952593722
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2019,3.015078756
Afghanistan,AFG,Armed forces personnel (% of total labor force),1/1/2020,1.812045225
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/1991,0.677781348
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/1992,0.647987934
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/1993,0.666844105
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/1994,0.60625906
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/1995,0.984955304
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/1996,0.925388446
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/1997,0.86922444
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/1998,0.870549712
Africa Eastern and Southern,AFE,Armed forces personnel (% of total labor force),1/1/1999,0.883841941
