STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,POLLUTANT,Pollutant,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,OBS_STATUS_4,Observation status 4,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period,DECIMALS,Decimals,CONVERSION_TYPE,Conversion type
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2018,,52.53251,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2017,,52.70522,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2016,,52.49182,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2015,,53.75831,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2014,,53.69049,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2013,,53.77351,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2012,,52.84214,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2011,,53.97718,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2010,,54.33022,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2009,,53.78799,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2008,,56.59927,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2007,,56.1349,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2006,,56.47375,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2005,,57.40793,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2004,,58.87375,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2003,,58.6147,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2002,,58.60661,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2001,,59.11163,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2000,,59.66378,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,SWE,Sweden,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,1999,,60.36825,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
