Reference area,REF_AREA,Measure,Unit of measure,TIME_PERIOD,Avoidable_mortality_values
Poland,POL,Preventable mortality,Deaths per 100 000 inhabitants,2016,181.4
Poland,POL,Preventable mortality,Deaths per 100 000 inhabitants,2017,182.1
United States,USA,Treatable mortality,Deaths,2000,281989.5
United States,USA,Treatable mortality,Deaths,2001,279400
Israel,ISR,Avoidable mortality,Deaths per 100 000 inhabitants,2005,204.1
Israel,ISR,Avoidable mortality,Deaths per 100 000 inhabitants,2006,194.5
United States,USA,Treatable mortality,Deaths,2004,271015
United States,USA,Treatable mortality,Deaths,2005,271343
United States,USA,Treatable mortality,Deaths,2006,270028.5
United States,USA,Treatable mortality,Deaths,2007,268084
United States,USA,Treatable mortality,Deaths,2008,271695
United States,USA,Treatable mortality,Deaths,2009,271261
United States,USA,Treatable mortality,Deaths,2010,269110.5
United States,USA,Treatable mortality,Deaths,2020,338511
United States,USA,Treatable mortality,Deaths,2021,346474
United States,USA,Treatable mortality,Deaths,2013,283053.5
United States,USA,Treatable mortality,Deaths,2014,289121
United States,USA,Treatable mortality,Deaths,2015,296989
United States,USA,Treatable mortality,Deaths,2016,303224.5
United States,USA,Treatable mortality,Deaths,2017,307973.5
United States,USA,Treatable mortality,Deaths,2018,310826.5
United States,USA,Treatable mortality,Deaths,2019,311639.5
New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2015,68.4
New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2016,66.2
New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2000,113.4
New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2001,111.3
New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2002,106.6
New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2003,100.5
New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2004,97.9
New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2005,91.5
New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2006,91.3
New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2007,91.7
New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2008,86.8
New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2009,85
United States,USA,Treatable mortality,Deaths,2002,281004
United States,USA,Treatable mortality,Deaths,2003,279093.5
New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2012,75.6
New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2013,70.9
New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2014,70.1
Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2007,71.7
Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2008,69.7
Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2015,52.1
Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2016,50.8
Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2004,76.7
Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2005,76.6
Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2009,67.1
Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2010,62.8
Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2011,61.4
Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2012,60.6
Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2013,56.2
Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2000,94.7
Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2001,91.6
Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2002,90.8
Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2003,82.7
Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2014,54
Norway,NOR,Treatable mortality,Deaths per 100 000 inhabitants,2006,74.8
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2003,368.3
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2004,353.7
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2010,265.1
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2011,255.5
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2012,256.7
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2013,229.9
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2005,336.1
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2006,332.3
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2014,234.3
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2015,215.4
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2016,211
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2017,206.7
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2018,210.6
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2007,330.1
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2008,299.2
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2009,283.9
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2019,192.4
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2020,209.9
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2021,252.3
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2022,222.5
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2000,390.2
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2001,406.1
United States,USA,Treatable mortality,Deaths,2011,272672
United States,USA,Treatable mortality,Deaths,2012,274506.5
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2020,405.3
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2000,126.5
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2001,112.5
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2002,108.4
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2003,117.2
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2004,115.6
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2005,127.7
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2006,108.8
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2007,111.2
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2008,105.6
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2009,109.4
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2010,106.9
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2011,102.1
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2012,102.9
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2013,103.3
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2014,97.9
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2015,97.9
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2016,85.8
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2017,91
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2018,106.9
Italy,ITA,Avoidable mortality,Deaths,2019,98148
Italy,ITA,Avoidable mortality,Deaths,2020,118672
Italy,ITA,Avoidable mortality,Deaths,2003,134707
Italy,ITA,Avoidable mortality,Deaths,2004,127025
Italy,ITA,Avoidable mortality,Deaths,2005,124674
Italy,ITA,Avoidable mortality,Deaths,2006,120611
Italy,ITA,Avoidable mortality,Deaths,2007,118677
Italy,ITA,Avoidable mortality,Deaths,2008,116721
Italy,ITA,Avoidable mortality,Deaths,2009,115315
Italy,ITA,Avoidable mortality,Deaths,2010,111666
Italy,ITA,Avoidable mortality,Deaths,2011,111008
Italy,ITA,Avoidable mortality,Deaths,2012,110056
Italy,ITA,Avoidable mortality,Deaths,2013,106550
Italy,ITA,Avoidable mortality,Deaths,2014,103949
Italy,ITA,Avoidable mortality,Deaths,2015,105615
Italy,ITA,Avoidable mortality,Deaths,2016,101546
Italy,ITA,Avoidable mortality,Deaths,2017,102037
Italy,ITA,Avoidable mortality,Deaths,2018,99705
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2020,346.3
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2021,470.7
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2000,515.5
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2001,504.5
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2002,486.7
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2003,480.6
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2004,464
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2005,462.3
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2006,453.8
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2007,440.1
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2008,424.1
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2009,406.5
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2010,396.6
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2012,376.5
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2013,363
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2014,346.8
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2016,336.7
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2017,335.7
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2018,331.3
Slovak Republic,SVK,Avoidable mortality,Deaths per 100 000 inhabitants,2019,320.7
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2001,238.9
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2002,228
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2006,193.6
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2007,195.1
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2008,187.7
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2009,181.2
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2003,225.4
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2014,150.9
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2015,154.4
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2016,151.3
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2017,150.2
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2018,145
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2019,141.5
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2020,163.5
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2004,209.6
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2005,197
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2010,172.9
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2011,167.7
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2012,166.6
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2013,161
Slovenia,SVN,Preventable mortality,Deaths per 100 000 inhabitants,2000,241.7
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2012,499.7
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2013,489.2
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2020,449.3
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2021,480.9
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2022,408.5
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2004,577.4
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2000,553.9
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2001,580.2
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2002,580.6
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2003,576.5
New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2010,77.9
New Zealand,NZL,Treatable mortality,Deaths per 100 000 inhabitants,2011,76.8
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2016,453.7
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2017,412.1
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2018,399.7
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2019,389.8
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2005,617
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2006,631.9
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2007,642.2
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2008,596.4
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2009,541.2
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2010,526.5
Lithuania,LTU,Avoidable mortality,Deaths per 100 000 inhabitants,2011,508.8
Finland,FIN,Treatable mortality,Deaths,2020,3958.5
Finland,FIN,Treatable mortality,Deaths,2021,3894
Finland,FIN,Treatable mortality,Deaths,2000,5635
Finland,FIN,Treatable mortality,Deaths,2001,5249
Finland,FIN,Treatable mortality,Deaths,2002,5177.5
Finland,FIN,Treatable mortality,Deaths,2003,4965
Finland,FIN,Treatable mortality,Deaths,2004,4869.5
Finland,FIN,Treatable mortality,Deaths,2005,4733.5
Finland,FIN,Treatable mortality,Deaths,2006,4414.5
Finland,FIN,Treatable mortality,Deaths,2007,4413.5
Finland,FIN,Treatable mortality,Deaths,2008,4307
Finland,FIN,Treatable mortality,Deaths,2009,4380
Finland,FIN,Treatable mortality,Deaths,2010,4323.5
Finland,FIN,Treatable mortality,Deaths,2011,4161.5
Finland,FIN,Treatable mortality,Deaths,2012,4149
Finland,FIN,Treatable mortality,Deaths,2013,4009.5
Finland,FIN,Treatable mortality,Deaths,2014,3919.5
Finland,FIN,Treatable mortality,Deaths,2015,3881.5
Finland,FIN,Treatable mortality,Deaths,2016,4053
Finland,FIN,Treatable mortality,Deaths,2017,4061
Finland,FIN,Treatable mortality,Deaths,2018,3893.5
Finland,FIN,Treatable mortality,Deaths,2019,3854.5
Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2018,139.6
Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2019,126
Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2009,147.5
Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2010,147.4
Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2011,148.5
Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2012,142.4
Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2013,162.8
Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2014,160.3
Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2015,155.2
Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2016,156.2
Türkiye,TUR,Preventable mortality,Deaths per 100 000 inhabitants,2017,149.7
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2020,106.1
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2021,112.7
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2000,223
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2001,165.8
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2002,163.4
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2003,163.5
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2004,151.5
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2005,153.4
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2006,146.5
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2007,142
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2008,138.9
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2009,133.1
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2010,131.4
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2011,124.9
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2012,122.2
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2013,114.8
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2014,117.3
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2015,121
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2016,113.4
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2017,112.9
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2018,108.4
Croatia,HRV,Treatable mortality,Deaths per 100 000 inhabitants,2019,104.3
Spain,ESP,Preventable mortality,Deaths,2020,62285
Spain,ESP,Preventable mortality,Deaths,2021,59256
Bulgaria,BGR,Preventable mortality,Deaths,2019,16481.5
Bulgaria,BGR,Preventable mortality,Deaths,2020,22728.5
Bulgaria,BGR,Preventable mortality,Deaths,2021,32784
Bulgaria,BGR,Preventable mortality,Deaths,2009,18556.5
Bulgaria,BGR,Preventable mortality,Deaths,2010,17471
Bulgaria,BGR,Preventable mortality,Deaths,2011,16663
Bulgaria,BGR,Preventable mortality,Deaths,2012,17650
Bulgaria,BGR,Preventable mortality,Deaths,2013,16678.5
Bulgaria,BGR,Preventable mortality,Deaths,2014,17124.5
Bulgaria,BGR,Preventable mortality,Deaths,2015,17234.5
Bulgaria,BGR,Preventable mortality,Deaths,2016,16391
Bulgaria,BGR,Preventable mortality,Deaths,2017,16315.5
Bulgaria,BGR,Preventable mortality,Deaths,2018,16087
Bulgaria,BGR,Preventable mortality,Deaths,2005,22638.5
Bulgaria,BGR,Preventable mortality,Deaths,2006,21705.5
Bulgaria,BGR,Preventable mortality,Deaths,2007,21115
Bulgaria,BGR,Preventable mortality,Deaths,2008,20192.5
Spain,ESP,Preventable mortality,Deaths,2000,61055
Spain,ESP,Preventable mortality,Deaths,2001,59853
Spain,ESP,Preventable mortality,Deaths,2002,59202.5
Spain,ESP,Preventable mortality,Deaths,2003,59380.5
Spain,ESP,Preventable mortality,Deaths,2004,57338.5
Spain,ESP,Preventable mortality,Deaths,2005,56630.5
Spain,ESP,Preventable mortality,Deaths,2006,54124.5
Spain,ESP,Preventable mortality,Deaths,2007,54060
Spain,ESP,Preventable mortality,Deaths,2008,52309.5
Spain,ESP,Preventable mortality,Deaths,2009,50770.5
Spain,ESP,Preventable mortality,Deaths,2010,49378.5
Spain,ESP,Preventable mortality,Deaths,2011,48440.5
Estonia,EST,Preventable mortality,Deaths per 100 000 inhabitants,2002,383.2
Peru,PER,Preventable mortality,Deaths per 100 000 inhabitants,2019,110.7
Spain,ESP,Preventable mortality,Deaths,2014,47771
Spain,ESP,Preventable mortality,Deaths,2015,48178
Spain,ESP,Preventable mortality,Deaths,2016,48430.5
Spain,ESP,Preventable mortality,Deaths,2017,48464.5
Spain,ESP,Preventable mortality,Deaths,2018,48320.5
Spain,ESP,Preventable mortality,Deaths,2019,47710
Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2020,344.1
Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2021,395.2
Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2000,430.9
Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2001,411.9
Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2002,396.9
Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2003,393.7
Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2004,386.8
Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2005,379.2
Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2006,377.8
Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2007,374.6
Poland,POL,Avoidable mortality,Deaths per 100 000 inhabitants,2008,367.5
