Reference area,REF_AREA,TIME_PERIOD,Median_%_of_men_wages_gap
Australia,AUS,1980,18.75
Australia,AUS,1979,20
Australia,AUS,1978,19.791666667
Brazil,BRA,2016,14.285714286
Brazil,BRA,2015,15.384615385
Brazil,BRA,2014,16.666666667
Australia,AUS,2019,15.311653117
Australia,AUS,2018,13.448567435
Australia,AUS,2017,13.000948217
Australia,AUS,2016,13.728432108
Australia,AUS,2015,13.307692308
Australia,AUS,2014,15.773353752
Australia,AUS,2013,18
Australia,AUS,2012,13.75
Australia,AUS,2011,15.966386555
Australia,AUS,2010,14.04293381
Australia,AUS,2009,16.363636364
Australia,AUS,2004,14.352941176
Australia,AUS,2003,13.043478261
Australia,AUS,2002,15
Australia,AUS,2001,14.342105263
Australia,AUS,2000,17.2
Australia,AUS,1999,14.285714286
Australia,AUS,1998,13.242009132
Australia,AUS,1997,15.254237288
Australia,AUS,1995,14.478114478
Australia,AUS,1994,14.409722222
Australia,AUS,1993,13.224637681
Australia,AUS,1992,14.258555133
Australia,AUS,1991,16.015625
Australia,AUS,1990,18.181818182
Australia,AUS,1989,18.58974359
Australia,AUS,1988,18.79350348
Australia,AUS,1977,18.390804598
Australia,AUS,1987,18.518518519
Australia,AUS,1986,18.848167539
Australia,AUS,2022,9.875
Australia,AUS,1982,20.819112628
Australia,AUS,1981,18.253968254
Australia,AUS,2005,15.777777778
Belgium,BEL,2004,11.832061069
Belgium,BEL,2003,15.205183585
Belgium,BEL,2002,11.604714415
Belgium,BEL,2001,13.186813187
Belgium,BEL,2000,13.599231139
Belgium,BEL,1999,15.182987141
Belgium,BEL,2022,1.106777696
Belgium,BEL,2021,1.106777696
Belgium,BEL,2020,1.173184358
Belgium,BEL,2019,3.798185941
Belgium,BEL,2018,3.408756979
Belgium,BEL,2017,4.190296156
Belgium,BEL,2016,3.701298701
Belgium,BEL,2015,4.672
Belgium,BEL,2014,3.298900366
Belgium,BEL,2013,5.912863071
Belgium,BEL,2012,6.411149826
Belgium,BEL,2011,5.838108883
Belgium,BEL,2010,7.043795620
Belgium,BEL,2009,7.480461481
Belgium,BEL,2007,9.873617693
Austria,AUT,2009,19.355965917
Austria,AUT,2001,22.801817823
Austria,AUT,2000,23.141943088
Austria,AUT,2022,12.143697036
Austria,AUT,2021,12.157208488
Austria,AUT,2020,12.381539673
Austria,AUT,2019,14.011740808
Austria,AUT,2018,14.876690892
Austria,AUT,2017,15.38215397
Austria,AUT,2016,15.670899643
Austria,AUT,2015,17.04325299
Austria,AUT,2014,17.728884245
Austria,AUT,2013,18.053211411
Austria,AUT,2012,18.185056843
Austria,AUT,2011,18.550554118
Austria,AUT,2010,19.188862682
Austria,AUT,2008,20.917320274
Austria,AUT,2007,21.634276366
Austria,AUT,2006,21.855130427
Austria,AUT,2005,22.032085753
Austria,AUT,2004,22.430792158
Austria,AUT,2003,21.136921977
Austria,AUT,2002,24.48922362
Australia,AUS,1976,20.754716981
Australia,AUS,1975,21.582733813
Australia,AUS,2021,10.470245305
Australia,AUS,2020,10.533333333
Colombia,COL,2016,12.755307692
Colombia,COL,2015,14.245359161
Colombia,COL,2014,14.772666666
Colombia,COL,2013,13.592555666
Colombia,COL,2012,14.497685185
Colombia,COL,2011,12.637804878
Colombia,COL,2010,12.661498709
Colombia,COL,2009,10
Colombia,COL,2008,10.813953488
Colombia,COL,2007,7.513123360
Colombia,COL,2023,1.945525292
Colombia,COL,2022,1.858736057
Chile,CHL,2020,8.596458333
Chile,CHL,2017,12.5
Chile,CHL,2015,14.285714286
Chile,CHL,2013,10.666666667
Chile,CHL,2011,16
Chile,CHL,2009,9.090909091
Chile,CHL,2006,5.555555556
Chile,CHL,2003,1.683183892
Chile,CHL,2000,6.0729
Chile,CHL,1998,14.285714286
Chile,CHL,2022,15.36705037
Chile,CHL,2021,10.918891755
Canada,CAN,2005,21.25
Canada,CAN,2023,16.136363636
Canada,CAN,2004,22.717948718
Canada,CAN,2003,22.502340337
Canada,CAN,2002,24.013157895
Canada,CAN,2001,24.324579125
Canada,CAN,2000,23.875
Canada,CAN,1999,24
Canada,CAN,1998,24.855491329
Canada,CAN,1997,24.705882353
Canada,CAN,2022,17.142857143
Canada,CAN,2021,16.666666667
Canada,CAN,2020,17.572905286
Canada,CAN,2019,18.646457526
Canada,CAN,2018,18.443223443
Canada,CAN,2017,18.755803157
Canada,CAN,2016,18.192133132
Canada,CAN,2015,18.653846154
Canada,CAN,2014,17.582417582
Canada,CAN,2013,20
Canada,CAN,2012,20.159660469
Canada,CAN,2011,19.875
Canada,CAN,2010,20.168067227
Canada,CAN,2009,19.995667244
Canada,CAN,2008,20.681564246
Canada,CAN,2007,21.71752196
Canada,CAN,2006,21.478365385
Australia,AUS,1985,19.607843137
Australia,AUS,1984,18.674698795
Australia,AUS,1983,19.155844156
Australia,AUS,2008,11.937377691
Australia,AUS,2007,15.4
Australia,AUS,2006,16.666666667
Belgium,BEL,2008,8.915753683
Belgium,BEL,2006,10.253267974
Belgium,BEL,2005,11.511092507
Denmark,DNK,2018,4.863206011
Denmark,DNK,2017,5.296691966
Denmark,DNK,2016,5.732628037
Denmark,DNK,2015,5.836048112
Denmark,DNK,2014,6.323865696
Denmark,DNK,2013,6.768911942
Denmark,DNK,2012,6.999844875
Denmark,DNK,2005,10.167330439
Denmark,DNK,2004,10.182205377
Denmark,DNK,2002,10.79707571
Denmark,DNK,2022,5.837088593
Denmark,DNK,2021,5.576082634
Denmark,DNK,2011,7.947197254
Denmark,DNK,2010,8.895098479
Denmark,DNK,2009,10.172005064
Denmark,DNK,2008,10.183549036
Denmark,DNK,2003,9.921804092
Czechia,CZE,2019,14.714332257
Czechia,CZE,2018,15.127413864
Czechia,CZE,2017,15.614010894
Czechia,CZE,2016,16.023430838
Czechia,CZE,2015,16.455154158
Czechia,CZE,2014,16.254560195
Czechia,CZE,2013,15.378835316
Czechia,CZE,2012,15.262979875
Czechia,CZE,2011,16.329656697
Czechia,CZE,2010,15.798503073
Czechia,CZE,2009,15.105017964
Czechia,CZE,2008,17.873019879
Czechia,CZE,2004,16.146819681
Czechia,CZE,2003,15.637497322
Czechia,CZE,2002,15.950697831
Czechia,CZE,2001,16.876621643
Czechia,CZE,1999,19.030314258
Czechia,CZE,1997,18.429043742
Czechia,CZE,1996,18.289856235
Czechia,CZE,2006,15.351766203
Czechia,CZE,2005,15.938929462
Czechia,CZE,2007,16.931531881
Czechia,CZE,2023,13.170419834
Czechia,CZE,2022,13.575712144
Czechia,CZE,2021,11.518748314
Costa Rica,CRI,2019,6.529209622
Costa Rica,CRI,2011,9.723076922
Costa Rica,CRI,2010,9.333333332
Costa Rica,CRI,2023,4.210524667
Australia,AUS,2023,11.34751773
Finland,FIN,1995,22.402194089
Finland,FIN,1994,23.149578753
Finland,FIN,1993,21.984812499
Finland,FIN,1992,20.284986188
Finland,FIN,1991,21.467746963
Finland,FIN,1989,23.559035502
Finland,FIN,1988,23.045794442
Finland,FIN,1987,23.612840074
Finland,FIN,1990,22.862101999
Finland,FIN,2022,17.516859387
Finland,FIN,2021,15.340786928
Finland,FIN,2020,15.978604956
Finland,FIN,2019,17.159829635
Finland,FIN,2018,18.855203722
Finland,FIN,2017,17.717920638
Finland,FIN,2016,16.47225837
Finland,FIN,2015,18.055981324
Finland,FIN,2014,19.609079445
Finland,FIN,2013,20.178432711
Finland,FIN,2012,18.726074526
Finland,FIN,2011,18.607617095
Finland,FIN,2010,18.876999846
Finland,FIN,2009,19.675672792
Finland,FIN,2008,21.233952657
Finland,FIN,2007,21.376904093
Estonia,EST,2018,22.68115942
Estonia,EST,2014,28.339350181
Estonia,EST,2010,27.797833935
Estonia,EST,2006,27.856025039
Estonia,EST,2002,25.000651941
Estonia,EST,2022,20.520922353
Estonia,EST,2021,20.428979425
Estonia,EST,2020,19.602147142
Denmark,DNK,2006,10.172061262
Denmark,DNK,2020,4.994399738
Denmark,DNK,2019,5.059215628
Greece,GRC,2022,8.084190385
Greece,GRC,2021,8.143520987
Greece,GRC,2020,7.952271548
Germany,DEU,1996,20.744680851
Germany,DEU,1995,19.544486619
Germany,DEU,1994,21.072796933
Germany,DEU,1993,22.941176471
Germany,DEU,1992,27.101265823
Germany,DEU,2017,14.427860696
Germany,DEU,2016,15.510718789
Germany,DEU,2015,15.816326531
Germany,DEU,2014,17.1875
Germany,DEU,2013,14.323287672
Germany,DEU,2012,16.304347826
Germany,DEU,2011,16.944444443
Germany,DEU,2010,16.694715584
Germany,DEU,2009,16.958598726
Germany,DEU,2008,16.959064326
Germany,DEU,2007,16.959064326
Germany,DEU,2006,18.542521995
Germany,DEU,2005,16.814159292
Germany,DEU,2004,21.244784423
Germany,DEU,2003,19.820537795
Germany,DEU,2002,18.633540373
Germany,DEU,2001,19.100651397
Germany,DEU,2000,19.536423842
Germany,DEU,2022,14.380132185
Germany,DEU,2021,13.475054231
Germany,DEU,2020,12.062573468
Germany,DEU,2019,14.351851853
Germany,DEU,2018,15.714285714
Germany,DEU,1999,20.586438607
Germany,DEU,1998,20.614050007
Costa Rica,CRI,2022,1.449275363
Costa Rica,CRI,2021,5.203619908
Costa Rica,CRI,2020,3.030303029
Costa Rica,CRI,2018,8.450704225
Costa Rica,CRI,2017,6.586826348
Costa Rica,CRI,2016,6.250000001
Costa Rica,CRI,2015,9.090909091
Costa Rica,CRI,2014,12.307692308
Costa Rica,CRI,2013,9.722222223
Costa Rica,CRI,2012,10.089285714
Colombia,COL,2020,2.963954082
Colombia,COL,2019,9.385588986
Colombia,COL,2018,10.628862538
Colombia,COL,2017,11.251349353
Finland,FIN,1997,21.332011656
Finland,FIN,1996,20.582669661
Israel,ISR,2014,20.108141196
Ireland,IRL,2006,19.602019602
Ireland,IRL,2002,17.769038255
Ireland,IRL,2021,7.470801450
Ireland,IRL,2020,5.227561357
Ireland,IRL,2019,2.781468686
Ireland,IRL,2018,8.284023669
Ireland,IRL,2014,10.606060606
Ireland,IRL,2010,14.345864662
Iceland,ISL,2002,28.722134916
Iceland,ISL,2022,8.694318758
Iceland,ISL,2021,9.722679041
Iceland,ISL,2020,11.405450413
Iceland,ISL,2019,13.275196383
Iceland,ISL,2018,12.901247189
Iceland,ISL,2014,13.84083045
Iceland,ISL,2010,16.46039604
Iceland,ISL,2006,23.269628099
Hungary,HUN,2019,12.753673197
Hungary,HUN,2002,9.129712294
Hungary,HUN,2001,13.689781486
Hungary,HUN,2000,14.098768043
Hungary,HUN,2022,13.335555556
Hungary,HUN,2021,13.076614108
Hungary,HUN,2020,12.350016442
Estonia,EST,2019,23.167458187
Denmark,DNK,2007,9.850297950
Japan,JPN,2021,22.113766409
Japan,JPN,2020,22.518568535
Japan,JPN,2019,23.480013436
Japan,JPN,2018,23.537368955
Japan,JPN,2017,24.518092661
Japan,JPN,2016,24.601289447
Japan,JPN,2015,25.731790334
Japan,JPN,2014,25.870989997
Japan,JPN,2013,26.587578507
Japan,JPN,2012,26.523545706
Japan,JPN,2011,27.395364926
Japan,JPN,2010,28.684300928
Italy,ITA,2022,3.288573384
Italy,ITA,2021,2.452193476
Italy,ITA,2020,4.768122657
Italy,ITA,2019,5.553895411
Italy,ITA,2018,5.708061002
Italy,ITA,2014,6.584723442
Italy,ITA,2010,5.640535373
Italy,ITA,2006,10.512820513
France,FRA,2022,11.558211206
France,FRA,2021,11.558211206
France,FRA,2020,11.764927198
France,FRA,2019,12.073441439
France,FRA,2018,11.823802164
France,FRA,2014,9.872102318
France,FRA,2010,9.118807541
France,FRA,2006,9.390746679
France,FRA,2002,13.30472103
Finland,FIN,2006,19.374794537
Finland,FIN,1986,22.531420389
Finland,FIN,1984,23.427041501
Finland,FIN,1983,25.631742915
Finland,FIN,1982,25.96153846
Finland,FIN,1980,26.623818677
Finland,FIN,1979,27.168949772
Finland,FIN,1978,27.088607594
Finland,FIN,1977,27.69040181
Finland,FIN,2005,18.941694033
Finland,FIN,2004,20.015151037
Finland,FIN,2003,20.099255583
Finland,FIN,2002,20.373202814
Finland,FIN,2001,21.239091287
Finland,FIN,2000,20.427489177
Finland,FIN,1999,21.716236107
Finland,FIN,1998,20.800426409
Israel,ISR,2016,21.593332041
Israel,ISR,2015,20.439189189
Korea,KOR,2009,38.614682704
Korea,KOR,2008,39.037441734
Korea,KOR,2007,38.162064282
Korea,KOR,2006,39.774144311
Korea,KOR,2005,39.61663236
Korea,KOR,2004,39.62354825
Korea,KOR,2003,40.083154627
Korea,KOR,2002,41.028512789
Korea,KOR,2001,40.416140488
Korea,KOR,2000,41.654352442
Korea,KOR,1999,41.803398112
Korea,KOR,2023,29.300864101
Korea,KOR,2022,31.242084275
Korea,KOR,2021,31.064839435
Korea,KOR,2020,31.48475223
Korea,KOR,2019,32.480444715
Korea,KOR,2018,34.107310951
Hungary,HUN,1992,17.391092723
Hungary,HUN,1989,25.979979418
Hungary,HUN,2017,5.320268655
Hungary,HUN,2016,9.364317181
Hungary,HUN,2015,9.523809524
Hungary,HUN,2014,3.772605527
Hungary,HUN,2013,8.723650635
Hungary,HUN,2012,11.332462443
Hungary,HUN,2011,6.863905325
Hungary,HUN,2010,6.381712252
Hungary,HUN,2009,3.876088070
Hungary,HUN,2008,2.220654460
Hungary,HUN,2007,3.648106127
Hungary,HUN,2006,0.384387036
Hungary,HUN,2005,4.021526574
Hungary,HUN,2004,3.034373765
Hungary,HUN,2003,1.476004490
Hungary,HUN,2018,5.063214286
Hungary,HUN,1999,15.30123115
Hungary,HUN,1998,15.671892874
Hungary,HUN,1996,17.775349235
Hungary,HUN,1995,15.754001685
Hungary,HUN,1994,15.181054045
Hungary,HUN,1993,7.948628948
Greece,GRC,2018,5.909090909
Greece,GRC,2014,7.171581769
Greece,GRC,2010,9.909909910
Greece,GRC,2006,17.725752508
Greece,GRC,2002,23.565754634
Japan,JPN,1983,41.903409091
Japan,JPN,2023,22.042139384
Japan,JPN,2022,21.347941567
Netherlands,NLD,2002,15.64
Netherlands,NLD,2022,14.760322734
Netherlands,NLD,2021,13.230210854
Netherlands,NLD,2020,13.330890229
Netherlands,NLD,2019,13.397326424
Netherlands,NLD,2018,12.657091562
Netherlands,NLD,2014,15.304839723
Netherlands,NLD,2010,17.88914703
Netherlands,NLD,2006,15.982463133
Mexico,MEX,2022,16.666666667
Mexico,MEX,2012,13.555555556
Mexico,MEX,2011,10
Mexico,MEX,2010,11.627906977
Mexico,MEX,2009,16.666666667
Mexico,MEX,2008,22.222222222
Mexico,MEX,2007,12.5
Mexico,MEX,2006,18.604651163
Mexico,MEX,2005,16.666666667
Mexico,MEX,2023,15
Mexico,MEX,2021,12.5
Mexico,MEX,2018,14
Mexico,MEX,2017,11.111111111
Mexico,MEX,2016,16.492248062
Mexico,MEX,2015,16.666666667
Mexico,MEX,2014,18.3
Mexico,MEX,2013,15.433403805
Italy,ITA,2002,15.725101922
