STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,SOCIO_ECON_STATUS,Socio-economic status,DEATH_CAUSE,Cause of death,CALC_METHODOLOGY,Calculation methodology,GESTATION_THRESHOLD,Gestation period threshold,HEALTH_STATUS,Health status,DISEASE,Disease,CANCER_SITE,Cancer site,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.0),Perceived health status,I,GBR,United Kingdom,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y_GE15,15 years or over,_T,Total,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,B,Bad/very bad health,_Z,Not applicable,_Z,Not applicable,2007,,6.2,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.0),Perceived health status,I,GBR,United Kingdom,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y_GE15,15 years or over,_T,Total,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,B,Bad/very bad health,_Z,Not applicable,_Z,Not applicable,2008,,5.2,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.0),Perceived health status,I,SWE,Sweden,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y_GE15,15 years or over,_T,Total,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,F,"Fair (not good, not bad) health",_Z,Not applicable,_Z,Not applicable,2021,,21.2,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.0),Perceived health status,I,SWE,Sweden,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y_GE15,15 years or over,_T,Total,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,F,"Fair (not good, not bad) health",_Z,Not applicable,_Z,Not applicable,2022,,25.6,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.0),Perceived health status,I,ITA,Italy,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y_GE15,15 years or over,_T,Total,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,B,Bad/very bad health,_Z,Not applicable,_Z,Not applicable,2021,,8.1,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.0),Perceived health status,I,ITA,Italy,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y_GE15,15 years or over,_T,Total,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,B,Bad/very bad health,_Z,Not applicable,_Z,Not applicable,2022,,6.7,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.0),Perceived health status,I,SWE,Sweden,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y_GE15,15 years or over,_T,Total,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,F,"Fair (not good, not bad) health",_Z,Not applicable,_Z,Not applicable,2007,,17.2,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.0),Perceived health status,I,SWE,Sweden,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y_GE15,15 years or over,_T,Total,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,F,"Fair (not good, not bad) health",_Z,Not applicable,_Z,Not applicable,2012,,15.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.0),Perceived health status,I,SWE,Sweden,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y_GE15,15 years or over,_T,Total,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,F,"Fair (not good, not bad) health",_Z,Not applicable,_Z,Not applicable,2013,,15.6,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_PHS(1.0),Perceived health status,I,SWE,Sweden,A,Annual,PHS,Perceived health status,PT_POP_AGE,Percentage of population in the same age,Y_GE15,15 years or over,_T,Total,_Z,Not applicable,_Z,Not applicable,CRUDE,Crude rate,_Z,Not applicable,F,"Fair (not good, not bad) health",_Z,Not applicable,_Z,Not applicable,2014,,16.8,,,,,,,,,,,
